_MEMBER_MyList,_LogP_MyList,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff
1,-5.1,M39155,M1,1,0,Cell Type Signatures,7,GAO LARGE INTESTINE 24W C5 LGR5POS STEM CELL,,-5.1,5.7,6.4,30293,60,879,10,1.1,0.36,2150|2706|6590|6662|7103|8549|9388|9518|84152|130399,F2RL1|GJB2|SLPI|SOX9|TSPAN8|LGR5|LIPG|GDF15|PPP1R1B|ACVR1C,-3.8,0
1,-5,M39226,M1,1,0,Cell Type Signatures,7,LAKE ADULT KIDNEY C7 PROXIMAL TUBULE EPITHELIAL CELLS S3,,-5,3.8,5.7,30293,135,879,15,1.7,0.44,1004|2512|4495|4502|6277|7168|7364|9229|9547|9590|51473|54796|79623|80781|440712,CDH6|FTL|MT1G|MT2A|S100A6|TPM1|UGT2B7|DLGAP1|CXCL14|AKAP12|DCDC2|BNC2|GALNT14|COL18A1|RHEX,-3.7,0
1,-5,M40223,M1,1,0,Cell Type Signatures,7,DESCARTES FETAL KIDNEY METANEPHRIC CELLS,,-5,3.6,5.6,30293,152,879,16,1.8,0.45,1004|2138|4826|4868|5502|6299|6493|7135|7490|27063|29114|56896|79192|120114|169026|729993,CDH6|EYA1|NNAT|NPHS1|PPP1R1A|SALL1|SIM2|TNNI1|WT1|ANKRD1|TAGLN3|DPYSL5|IRX1|FAT3|SLC30A8|SHISA9,-3.7,0
1,-5,M40013,M1,1,0,Cell Type Signatures,7,BUSSLINGER GASTRIC MATURE PIT CELLS,,-5,3.1,5.4,30293,224,879,20,2.3,0.5,60|1728|3280|3487|3728|4008|4082|4495|4502|6277|6590|6819|7103|8407|11343|27242|55603|79026|84419|219699,ACTB|NQO1|HES1|IGFBP4|JUP|LMO7|MARCKS|MT1G|MT2A|S100A6|SLPI|SULT1C2|TSPAN8|TAGLN2|MGLL|TNFRSF21|TENT5A|AHNAK|C15orf48|UNC5B,-3.7,0
1,-5,M39294,M1,1,0,Cell Type Signatures,7,DURANTE ADULT OLFACTORY NEUROEPITHELIUM MAST CELLS,,-5,5.1,6.1,30293,75,879,11,1.3,0.37,969|1359|2624|3976|4129|5329|5874|5996|6446|54541|440712,CD69|CPA3|GATA2|LIF|MAOB|PLAUR|RAB27B|RGS1|SGK1|DDIT4|RHEX,-3.7,0
1,-5,M41743,M1,1,0,Cell Type Signatures,7,RUBENSTEIN SKELETAL MUSCLE ENDOTHELIAL CELLS,,-5,3.8,5.6,30293,137,879,15,1.7,0.44,1003|2034|2321|3122|3339|3487|3672|7078|7122|8829|9411|10628|11343|64123|79026,CDH5|EPAS1|FLT1|HLA-DRA|HSPG2|IGFBP4|ITGA1|TIMP3|CLDN5|NRP1|ARHGAP29|TXNIP|MGLL|ADGRL4|AHNAK,-3.6,0
1,-4.9,M41688,M1,1,0,Cell Type Signatures,7,TRAVAGLINI LUNG NEUTROPHIL CELL,,-4.9,2.5,5.1,30293,368,879,27,3.1,0.58,597|1052|1263|1843|1955|2512|3576|3726|4082|4311|4318|5329|6277|6303|6515|6648|8660|9021|9123|10154|26253|55350|55701|57568|64386|83716|116496,BCL2A1|CEBPD|PLK3|DUSP1|MEGF9|FTL|CXCL8|JUNB|MARCKS|MME|MMP9|PLAUR|S100A6|SAT1|SLC2A3|SOD2|IRS2|SOCS3|SLC16A3|PLXNC1|CLEC4E|VNN3P|ARHGEF40|SIPA1L2|MMP25|CRISPLD2|NIBAN1,-3.6,0
1,-4.9,M40104,M1,1,0,Cell Type Signatures,7,DESCARTES MAIN FETAL EPICARDIAL FAT CELLS,,-4.9,6.2,6.4,30293,50,879,9,1,0.34,768|794|6281|10216|51200|64094|147381|151887|283298,CA9|CALB2|S100A10|PRG4|CPA4|SMOC2|CBLN2|CCDC80|OLFML1,-3.6,0
1,-4.9,M39258,M1,1,0,Cell Type Signatures,7,MENON FETAL KIDNEY 8 CONNECTING TUBULE CELLS,,-4.9,2.8,5.2,30293,267,879,22,2.5,0.53,288|2625|3234|3486|3490|3773|4651|5455|5783|5792|6277|6303|6414|6819|10123|10397|51473|54477|55195|79026|80781|84858,ANK3|GATA3|HOXD8|IGFBP3|IGFBP7|KCNJ16|MYO10|POU3F3|PTPN13|PTPRF|S100A6|SAT1|SELENOP|SULT1C2|ARL4C|NDRG1|DCDC2|PLEKHA5|CCDC198|AHNAK|COL18A1|ZNF503,-3.6,0
1,-4.9,M40019,M1,1,0,Cell Type Signatures,7,BUSSLINGER GASTRIC X CELLS,,-4.9,3.2,5.4,30293,191,879,18,2,0.48,445|1191|1832|1843|3488|3726|3800|4129|4821|4837|5502|7026|8470|11075|28959|56944|115207|359948,ASS1|CLU|DSP|DUSP1|IGFBP5|JUNB|KIF5C|MAOB|NKX2-2|NNMT|PPP1R1A|NR2F2|SORBS2|STMN2|TMEM176B|OLFML3|KCTD12|IRF2BP2,-3.6,0
