_MEMBER_modules_mes_black_sorted_top300,_MEMBER_modules_mes_blue_sorted_top300,_MEMBER_modules_mes_green_sorted_top300,_MEMBER_modules_mes_grey_sorted_top300,_MEMBER_modules_mes_pink_sorted_top300,_MEMBER_modules_mes_red_sorted_top300,_LogP_modules_mes_black_sorted_top300,_LogP_modules_mes_blue_sorted_top300,_LogP_modules_mes_green_sorted_top300,_LogP_modules_mes_grey_sorted_top300,_LogP_modules_mes_pink_sorted_top300,_LogP_modules_mes_red_sorted_top300,GO,Description,_PATTERN_,_RANK_,GiniIndex
1,1,0,0,0,0,-14,-2.2,0,0,0,0,R-HSA-176814,Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins,M110000,2,0
1,1,0,0,0,0,-3.7,-6.8,0,0,0,0,GO:0070098,chemokine-mediated signaling pathway,M110000,2,0
0,0,1,0,1,0,0,0,-6.3,0,-2.7,0,GO:0001701,in utero embryonic development,M001010,2,0
1,1,0,0,0,0,-26,-15,0,0,0,0,hsa05169,Epstein-Barr virus infection,M110000,2,0
1,0,0,0,0,1,-3.5,0,0,0,0,-3.5,WP5406,13q12 12 copy number variation,M100001,2,0
1,1,0,0,0,0,-7.3,-8.8,0,0,0,0,GO:0050867,positive regulation of cell activation,M110000,2,0
1,1,0,0,0,0,-15,-2.1,0,0,0,0,R-HSA-8852276,The role of GTSE1 in G2/M progression after G2 checkpoint,M110000,2,0
1,1,0,0,0,0,-3.4,-94,0,0,0,0,M5911,HALLMARK INTERFERON ALPHA RESPONSE,M110000,2,0
1,1,0,0,0,0,-2.2,-2.2,0,0,0,0,GO:0050766,positive regulation of phagocytosis,M110000,2,0
0,0,1,0,1,0,0,0,-4.5,0,-2.5,0,GO:0051653,spindle localization,M001010,2,0
1,1,0,0,0,0,-3.4,-3.4,0,0,0,0,GO:0006873,intracellular monoatomic ion homeostasis,M110000,2,0
1,1,0,0,0,0,-5.4,-19,0,0,0,0,hsa05171,Coronavirus disease - COVID-19,M110000,2,0
1,1,0,0,0,0,-5.4,-6.9,0,0,0,0,GO:0002768,immune response-regulating cell surface receptor signaling pathway,M110000,2,0
1,1,0,0,0,0,-14,-2.3,0,0,0,0,R-HSA-68949,Orc1 removal from chromatin,M110000,2,0
1,1,0,0,0,0,-15,-2.4,0,0,0,0,R-HSA-4608870,Asymmetric localization of PCP proteins,M110000,2,0
1,1,0,0,0,0,-6.5,-6.5,0,0,0,0,GO:0002687,positive regulation of leukocyte migration,M110000,2,0
1,1,0,0,0,0,-11,-2.1,0,0,0,0,R-HSA-5619115,Disorders of transmembrane transporters,M110000,2,0
0,1,1,0,0,0,0,-13,-3.7,0,0,0,R-HSA-983170,"Antigen Presentation: Folding, assembly and peptide loading of class I MHC",M011000,2,0
1,1,0,0,0,0,-6,-3.9,0,0,0,0,GO:0052548,regulation of endopeptidase activity,M110000,2,0
0,0,1,0,0,1,0,0,-3,0,0,-3,hsa05100,Bacterial invasion of epithelial cells,M001001,2,0
1,0,1,0,0,0,-2.1,0,-2.1,0,0,0,GO:0018193,peptidyl-amino acid modification,M101000,2,0
1,1,0,0,0,0,-3.9,-9.1,0,0,0,0,GO:0002700,regulation of production of molecular mediator of immune response,M110000,2,0
1,1,0,0,0,0,-5.6,-6.9,0,0,0,0,R-HSA-9692916,SARS-CoV-1 activates/modulates innate immune responses,M110000,2,0
1,1,0,0,0,0,-16,-3.3,0,0,0,0,R-HSA-69580,p53-Dependent G1/S DNA damage checkpoint,M110000,2,0
1,0,0,0,1,0,-4,0,0,0,-2.2,0,hsa05220,Chronic myeloid leukemia,M100010,2,0
1,1,0,0,0,0,-8.6,-8.6,0,0,0,0,GO:1903039,positive regulation of leukocyte cell-cell adhesion,M110000,2,0
1,1,0,0,0,0,-4.4,-6.5,0,0,0,0,GO:1990869,cellular response to chemokine,M110000,2,0
0,0,0,0,1,1,0,0,0,0,-4.9,-4.2,GO:0003007,heart morphogenesis,M000011,2,0
1,1,0,0,0,0,-15,-1e+02,0,0,0,0,M5913,HALLMARK INTERFERON GAMMA RESPONSE,M110000,2,0
1,1,0,0,0,0,-5,-8.4,0,0,0,0,hsa04623,Cytosolic DNA-sensing pathway,M110000,2,0
0,1,1,0,0,0,0,-2.2,-2.2,0,0,0,GO:0051702,biological process involved in interaction with symbiont,M011000,2,0
1,1,0,0,0,0,-2.5,-2.5,0,0,0,0,GO:0002820,negative regulation of adaptive immune response,M110000,2,0
0,0,1,0,0,1,0,0,-4,0,0,-2.6,GO:0034330,cell junction organization,M001001,2,0
1,1,0,0,0,0,-4.3,-11,0,0,0,0,GO:0002821,positive regulation of adaptive immune response,M110000,2,0
0,1,1,0,0,0,0,-4.4,-2.5,0,0,0,GO:0000209,protein polyubiquitination,M011000,2,0
1,1,0,0,0,0,-8.1,-5.7,0,0,0,0,GO:0140888,interferon-mediated signaling pathway,M110000,2,0
0,0,1,0,0,1,0,0,-6.8,0,0,-2.1,GO:0090114,COPII-coated vesicle budding,M001001,2,0
1,1,0,0,0,0,-15,-14,0,0,0,0,GO:0032496,response to lipopolysaccharide,M110000,2,0
1,1,0,0,0,0,-5.4,-7.1,0,0,0,0,GO:1903555,regulation of tumor necrosis factor superfamily cytokine production,M110000,2,0
0,0,1,0,0,1,0,0,-2.1,0,0,-2.1,GO:0003231,cardiac ventricle development,M001001,2,0
1,1,0,0,0,0,-16,-2.8,0,0,0,0,R-HSA-211733,Regulation of activated PAK-2p34 by proteasome mediated degradation,M110000,2,0
1,1,0,0,0,0,-2.4,-2.4,0,0,0,0,GO:0010803,regulation of tumor necrosis factor-mediated signaling pathway,M110000,2,0
1,0,0,0,0,1,-2.6,0,0,0,0,-2.6,R-HSA-202733,Cell surface interactions at the vascular wall,M100001,2,0
1,1,0,0,0,0,-5.1,-2.6,0,0,0,0,GO:0034142,toll-like receptor 4 signaling pathway,M110000,2,0
0,0,0,0,1,1,0,0,0,0,-2.3,-3,hsa04390,Hippo signaling pathway,M000011,2,0
1,1,0,0,0,0,-17,-17,0,0,0,0,GO:0002237,response to molecule of bacterial origin,M110000,2,0
1,1,0,0,0,0,-6.8,-14,0,0,0,0,GO:0002819,regulation of adaptive immune response,M110000,2,0
0,0,0,1,0,1,0,0,0,-2.7,0,-2.7,GO:0044839,cell cycle G2/M phase transition,M000101,2,0
1,1,0,0,0,0,-3.5,-3,0,0,0,0,GO:0031667,response to nutrient levels,M110000,2,0
1,0,0,0,1,0,-2.6,0,0,0,-2.6,0,GO:2000045,regulation of G1/S transition of mitotic cell cycle,M100010,2,0
1,1,0,0,0,0,-3.3,-2.6,0,0,0,0,GO:0046328,regulation of JNK cascade,M110000,2,0
1,1,0,0,0,0,-12,-2.2,0,0,0,0,R-HSA-9758941,Gastrulation,M110000,2,0
1,1,0,0,0,0,-3.5,-2.3,0,0,0,0,GO:0002269,leukocyte activation involved in inflammatory response,M110000,2,0
1,1,0,0,0,0,-15,-2.5,0,0,0,0,R-HSA-5678895,Defective CFTR causes cystic fibrosis,M110000,2,0
0,0,1,0,0,1,0,0,-6.1,0,0,-2.7,WP366,TGF beta signaling pathway,M001001,2,0
0,0,1,0,0,1,0,0,-2.3,0,0,-3.2,GO:0030239,myofibril assembly,M001001,2,0
1,1,0,0,0,0,-2,-2,0,0,0,0,GO:1901361,organic cyclic compound catabolic process,M110000,2,0
1,1,0,0,0,0,-5.2,-2.4,0,0,0,0,GO:0002263,cell activation involved in immune response,M110000,2,0
0,0,0,1,1,0,0,0,0,-6.3,-2,0,GO:1901990,regulation of mitotic cell cycle phase transition,M000110,2,0
1,1,0,0,0,0,-14,-2.2,0,0,0,0,R-HSA-179419,APC:Cdc20 mediated degradation of cell cycle proteins prior to satisfation of the cell cycle checkpoint,M110000,2,0
1,1,0,0,0,0,-6.5,-3.1,0,0,0,0,GO:0070661,leukocyte proliferation,M110000,2,0
0,0,0,0,1,1,0,0,0,0,-5.5,-2.7,GO:0048705,skeletal system morphogenesis,M000011,2,0
0,0,1,0,1,0,0,0,-3,0,-3,0,GO:0048588,developmental cell growth,M001010,2,0
0,0,0,0,1,1,0,0,0,0,-2.3,-3.1,GO:0072009,nephron epithelium development,M000011,2,0
1,1,0,0,0,0,-7.2,-3.3,0,0,0,0,M196,PID IL23 PATHWAY,M110000,2,0
1,1,0,0,0,0,-22,-2.4,0,0,0,0,R-HSA-1169091,Activation of NF-kappaB in B cells,M110000,2,0
1,0,0,0,0,1,-14,0,0,0,0,-2.4,R-HSA-73887,Death Receptor Signaling,M100001,2,0
0,0,1,0,1,0,0,0,-4.4,0,-5,0,GO:0048667,cell morphogenesis involved in neuron differentiation,M001010,2,0
1,1,0,0,0,0,-11,-4.9,0,0,0,0,GO:2001233,regulation of apoptotic signaling pathway,M110000,2,0
1,1,0,0,0,0,-15,-25,0,0,0,0,GO:0032103,positive regulation of response to external stimulus,M110000,2,0
1,1,0,0,0,0,-4.9,-3.2,0,0,0,0,GO:0009991,response to extracellular stimulus,M110000,2,0
1,1,0,0,0,0,-3.5,-3.5,0,0,0,0,GO:0030003,intracellular monoatomic cation homeostasis,M110000,2,0
0,0,1,0,1,0,0,0,-2.6,0,-6.4,0,GO:0014020,primary neural tube formation,M001010,2,0
1,0,0,0,1,0,-2.7,0,0,0,-2.1,0,GO:0043547,positive regulation of GTPase activity,M100010,2,0
1,1,0,0,0,0,-3.5,-9.5,0,0,0,0,R-HSA-380108,Chemokine receptors bind chemokines,M110000,2,0
1,1,0,0,0,0,-2.7,-9,0,0,0,0,GO:0002702,positive regulation of production of molecular mediator of immune response,M110000,2,0
0,0,0,0,1,1,0,0,0,0,-3.8,-2.7,GO:0048880,sensory system development,M000011,2,0
1,1,0,0,0,0,-2.4,-3.3,0,0,0,0,GO:0042531,positive regulation of tyrosine phosphorylation of STAT protein,M110000,2,0
1,1,0,0,0,0,-2.8,-2.8,0,0,0,0,GO:0046641,positive regulation of alpha-beta T cell proliferation,M110000,2,0
1,1,0,0,0,0,-11,-9,0,0,0,0,GO:0071396,cellular response to lipid,M110000,2,0
1,1,0,0,0,0,-6.5,-14,0,0,0,0,GO:0002697,regulation of immune effector process,M110000,2,0
1,1,0,0,0,0,-8.3,-3.3,0,0,0,0,GO:0071347,cellular response to interleukin-1,M110000,2,0
1,1,0,0,0,0,-2.2,-2.2,0,0,0,0,GO:0032147,activation of protein kinase activity,M110000,2,0
0,0,1,0,1,0,0,0,-3,0,-5.9,0,GO:0048589,developmental growth,M001010,2,0
0,0,1,0,0,1,0,0,-4.8,0,0,-3.7,M5896,HALLMARK TGF BETA SIGNALING,M001001,2,0
1,1,0,0,0,0,-4.1,-2.8,0,0,0,0,M264,PID TOLL ENDOGENOUS PATHWAY,M110000,2,0
1,1,0,0,0,0,-5.1,-6.1,0,0,0,0,GO:0032755,positive regulation of interleukin-6 production,M110000,2,0
0,1,1,0,0,0,0,-3,-2.4,0,0,0,GO:0032368,regulation of lipid transport,M011000,2,0
1,1,0,0,0,0,-8.3,-2.3,0,0,0,0,R-HSA-5683057,MAPK family signaling cascades,M110000,2,0
0,1,0,0,0,1,0,-2.6,0,0,0,-5.8,R-HSA-1474228,Degradation of the extracellular matrix,M010001,2,0
1,0,1,0,0,0,-2.7,0,-3.6,0,0,0,GO:0035967,cellular response to topologically incorrect protein,M101000,2,0
0,0,1,0,0,1,0,0,-5.2,0,0,-3.7,GO:0007163,establishment or maintenance of cell polarity,M001001,2,0
1,1,0,0,0,0,-18,-10,0,0,0,0,GO:0043122,regulation of canonical NF-kappaB signal transduction,M110000,2,0
1,1,0,0,0,0,-3.8,-2.9,0,0,0,0,GO:0043406,positive regulation of MAP kinase activity,M110000,2,0
1,1,0,0,0,0,-6.1,-4.7,0,0,0,0,GO:0062197,cellular response to chemical stress,M110000,2,0
0,0,1,0,0,1,0,0,-2.4,0,0,-2.4,GO:0033363,secretory granule organization,M001001,2,0
1,1,0,0,0,0,-7.1,-5.4,0,0,0,0,hsa04062,Chemokine signaling pathway,M110000,2,0
1,1,0,0,0,0,-3.9,-3.9,0,0,0,0,GO:1904018,positive regulation of vasculature development,M110000,2,0
0,0,0,0,1,1,0,0,0,0,-2.3,-3.2,GO:0072078,nephron tubule morphogenesis,M000011,2,0
1,1,0,0,0,0,-7.4,-3.1,0,0,0,0,GO:0002274,myeloid leukocyte activation,M110000,2,0
0,0,1,0,0,1,0,0,-4.4,0,0,-2.4,GO:0034109,homotypic cell-cell adhesion,M001001,2,0
1,1,0,0,0,0,-2.5,-7.1,0,0,0,0,GO:0032677,regulation of interleukin-8 production,M110000,2,0
1,0,0,0,0,1,-2.7,0,0,0,0,-3.2,GO:0010959,regulation of metal ion transport,M100001,2,0
1,1,0,0,0,0,-2.3,-2.3,0,0,0,0,GO:0034110,regulation of homotypic cell-cell adhesion,M110000,2,0
1,1,0,0,0,0,-3.2,-3.2,0,0,0,0,M4891,BIOCARTA PML PATHWAY,M110000,2,0
1,1,0,0,0,0,-9.1,-3.1,0,0,0,0,R-HSA-168138,Toll Like Receptor 9 (TLR9) Cascade,M110000,2,0
1,1,0,0,0,0,-5.3,-5.3,0,0,0,0,R-HSA-9664424,Cell recruitment (pro-inflammatory response),M110000,2,0
0,0,1,0,1,0,0,0,-2.1,0,-2.8,0,GO:0003206,cardiac chamber morphogenesis,M001010,2,0
1,1,0,0,0,0,-16,-2.7,0,0,0,0,R-HSA-9824272,Somitogenesis,M110000,2,0
1,1,0,0,0,0,-17,-2.5,0,0,0,0,R-HSA-5621481,C-type lectin receptors (CLRs),M110000,2,0
1,1,0,0,0,0,-3.6,-3.6,0,0,0,0,GO:0010575,positive regulation of vascular endothelial growth factor production,M110000,2,0
1,1,0,0,0,0,-9.3,-3.2,0,0,0,0,R-HSA-975155,MyD88 dependent cascade initiated on endosome,M110000,2,0
0,0,1,0,1,0,0,0,-2.5,0,-3,0,GO:0031346,positive regulation of cell projection organization,M001010,2,0
1,1,0,0,0,0,-4.5,-4.5,0,0,0,0,GO:0062207,regulation of pattern recognition receptor signaling pathway,M110000,2,0
1,1,0,0,0,0,-4.6,-3.1,0,0,0,0,hsa05202,Transcriptional misregulation in cancer,M110000,2,0
1,1,0,0,0,0,-4.3,-2.1,0,0,0,0,WP3941,Oxidative damage response,M110000,2,0
1,1,0,0,0,0,-6.4,-5.6,0,0,0,0,hsa05166,Human T-cell leukemia virus 1 infection,M110000,2,0
1,1,0,0,0,0,-2.1,-5.5,0,0,0,0,hsa04216,Ferroptosis,M110000,2,0
0,0,0,0,1,1,0,0,0,0,-2.8,-2.8,GO:0001657,ureteric bud development,M000011,2,0
1,1,0,0,0,0,-10,-3,0,0,0,0,R-HSA-166058,MyD88:MAL(TIRAP) cascade initiated on plasma membrane,M110000,2,0
1,1,0,0,0,0,-4.4,-6.7,0,0,0,0,GO:0050900,leukocyte migration,M110000,2,0
0,1,0,1,0,0,0,-2.5,0,-2.5,0,0,GO:0042770,signal transduction in response to DNA damage,M010100,2,0
1,1,0,0,0,0,-9.2,-2.3,0,0,0,0,GO:2001236,regulation of extrinsic apoptotic signaling pathway,M110000,2,0
1,1,0,0,0,0,-5.3,-12,0,0,0,0,GO:0002683,negative regulation of immune system process,M110000,2,0
0,0,1,0,0,1,0,0,-3,0,0,-3,R-HSA-5625900,RHO GTPases activate CIT,M001001,2,0
1,1,0,0,0,0,-3.2,-4.4,0,0,0,0,GO:0061900,glial cell activation,M110000,2,0
1,1,0,0,0,0,-3.9,-2,0,0,0,0,GO:0010594,regulation of endothelial cell migration,M110000,2,0
0,1,0,0,1,0,0,-4.3,0,0,-2.1,0,GO:0060395,SMAD protein signal transduction,M010010,2,0
0,0,1,0,0,1,0,0,-2.4,0,0,-3.2,hsa05414,Dilated cardiomyopathy,M001001,2,0
1,1,0,0,0,0,-2.1,-2.1,0,0,0,0,WP5329,Cholesterol biosynthesis pathway in hepatocytes,M110000,2,0
1,1,0,0,0,0,-4.8,-3.1,0,0,0,0,GO:0032651,regulation of interleukin-1 beta production,M110000,2,0
1,1,0,0,0,0,-16,-11,0,0,0,0,hsa05167,Kaposi sarcoma-associated herpesvirus infection,M110000,2,0
1,0,0,0,1,0,-4.5,0,0,0,-2.1,0,GO:0070201,regulation of establishment of protein localization,M100010,2,0
1,1,0,0,0,0,-16,-2.7,0,0,0,0,R-HSA-174113,SCF-beta-TrCP mediated degradation of Emi1,M110000,2,0
1,1,0,0,0,0,-6.6,-10,0,0,0,0,hsa05170,Human immunodeficiency virus 1 infection,M110000,2,0
1,1,0,0,0,0,-2.2,-2.8,0,0,0,0,GO:0071900,regulation of protein serine/threonine kinase activity,M110000,2,0
1,1,0,0,0,0,-3.9,-2.1,0,0,0,0,GO:0046425,regulation of receptor signaling pathway via JAK-STAT,M110000,2,0
1,1,0,0,0,0,-2.1,-2.1,0,0,0,0,GO:0002293,alpha-beta T cell differentiation involved in immune response,M110000,2,0
0,0,0,0,1,1,0,0,0,0,-3.7,-5,GO:0001822,kidney development,M000011,2,0
1,1,0,0,0,0,-13,-12,0,0,0,0,GO:0050865,regulation of cell activation,M110000,2,0
1,1,0,0,0,0,-3,-9.6,0,0,0,0,hsa05133,Pertussis,M110000,2,0
1,1,0,0,0,0,-3.5,-24,0,0,0,0,GO:0048525,negative regulation of viral process,M110000,2,0
1,1,0,0,0,0,-4.4,-6.7,0,0,0,0,GO:0050688,regulation of defense response to virus,M110000,2,0
1,1,0,0,0,0,-2.5,-3.4,0,0,0,0,GO:0000041,transition metal ion transport,M110000,2,0
1,1,0,0,0,0,-4.6,-2.4,0,0,0,0,GO:0044092,negative regulation of molecular function,M110000,2,0
1,1,0,0,0,0,-4.5,-3.9,0,0,0,0,GO:0001818,negative regulation of cytokine production,M110000,2,0
1,1,0,0,0,0,-8.3,-2.1,0,0,0,0,hsa05140,Leishmaniasis,M110000,2,0
0,1,1,0,0,0,0,-2.2,-2.2,0,0,0,WP2371,Parkinson 39 s disease pathway,M011000,2,0
0,0,1,0,0,1,0,0,-21,0,0,-3.6,GO:0006888,endoplasmic reticulum to Golgi vesicle-mediated transport,M001001,2,0
0,1,0,1,0,0,0,-2.8,0,-3.7,0,0,GO:0006974,DNA damage response,M010100,2,0
1,1,0,0,0,0,-2.6,-2.6,0,0,0,0,GO:0002823,negative regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains,M110000,2,0
1,1,0,0,0,0,-2.4,-7.9,0,0,0,0,GO:0032757,positive regulation of interleukin-8 production,M110000,2,0
1,1,0,0,0,0,-8.5,-2.5,0,0,0,0,R-HSA-168142,Toll Like Receptor 10 (TLR10) Cascade,M110000,2,0
1,1,0,0,0,0,-8.5,-2.5,0,0,0,0,R-HSA-975871,MyD88 cascade initiated on plasma membrane,M110000,2,0
0,0,0,0,1,1,0,0,0,0,-4.2,-2.1,GO:0048762,mesenchymal cell differentiation,M000011,2,0
0,1,1,0,0,0,0,-11,-2,0,0,0,GO:0060338,regulation of type I interferon-mediated signaling pathway,M011000,2,0
1,1,0,0,0,0,-6.3,-14,0,0,0,0,WP4868,Type I interferon induction and signaling during SARS CoV 2 infection,M110000,2,0
0,0,1,0,0,1,0,0,-5,0,0,-4,R-HSA-3000178,ECM proteoglycans,M001001,2,0
0,0,1,0,0,1,0,0,-3,0,0,-2,GO:0097479,synaptic vesicle localization,M001001,2,0
1,1,0,0,0,0,-2.1,-5.4,0,0,0,0,GO:0002698,negative regulation of immune effector process,M110000,2,0
1,1,0,0,0,0,-3.2,-3.2,0,0,0,0,WP4493,Cells and molecules involved in local acute inflammatory response,M110000,2,0
1,1,0,0,0,0,-9.2,-3.2,0,0,0,0,R-HSA-168181,Toll Like Receptor 7/8 (TLR7/8) Cascade,M110000,2,0
1,1,0,0,0,0,-4.1,-6.2,0,0,0,0,GO:0071260,cellular response to mechanical stimulus,M110000,2,0
1,1,0,0,0,0,-4.5,-2.1,0,0,0,0,hsa04071,Sphingolipid signaling pathway,M110000,2,0
1,1,0,0,0,0,-11,-10,0,0,0,0,GO:0050727,regulation of inflammatory response,M110000,2,0
0,0,0,0,1,1,0,0,0,0,-3.3,-5,GO:0001649,osteoblast differentiation,M000011,2,0
1,1,0,0,0,0,-19,-3.3,0,0,0,0,R-HSA-109581,Apoptosis,M110000,2,0
1,1,0,0,0,0,-5.4,-9.1,0,0,0,0,GO:0002753,cytoplasmic pattern recognition receptor signaling pathway,M110000,2,0
1,1,0,0,0,0,-15,-2.5,0,0,0,0,R-HSA-5610780,Degradation of GLI1 by the proteasome,M110000,2,0
1,0,0,0,1,0,-4.1,0,0,0,-2.2,0,GO:0050679,positive regulation of epithelial cell proliferation,M100010,2,0
0,0,0,0,1,1,0,0,0,0,-2.5,-2.4,hsa05217,Basal cell carcinoma,M000011,2,0
1,1,0,0,0,0,-4.3,-2.7,0,0,0,0,GO:0034614,cellular response to reactive oxygen species,M110000,2,0
0,0,1,0,0,1,0,0,-23,0,0,-6,GO:0048193,Golgi vesicle transport,M001001,2,0
1,1,0,0,0,0,-4.3,-2.4,0,0,0,0,WP2324,AGE RAGE pathway,M110000,2,0
1,1,0,0,0,0,-9.8,-3,0,0,0,0,R-HSA-168179,Toll Like Receptor TLR1:TLR2 Cascade,M110000,2,0
1,1,0,0,0,0,-20,-3.3,0,0,0,0,R-HSA-5607764,CLEC7A (Dectin-1) signaling,M110000,2,0
1,1,0,0,0,0,-6.6,-3.9,0,0,0,0,GO:0051347,positive regulation of transferase activity,M110000,2,0
1,1,0,0,0,0,-6.4,-3.1,0,0,0,0,GO:0010035,response to inorganic substance,M110000,2,0
1,1,0,0,0,0,-10,-17,0,0,0,0,GO:0002253,activation of immune response,M110000,2,0
1,1,0,0,0,0,-4.1,-2.4,0,0,0,0,GO:0033559,unsaturated fatty acid metabolic process,M110000,2,0
1,1,0,0,0,0,-2.9,-3.4,0,0,0,0,GO:0098771,inorganic ion homeostasis,M110000,2,0
0,1,0,0,0,1,0,-2.4,0,0,0,-6.6,R-HSA-1442490,Collagen degradation,M010001,2,0
1,1,0,0,0,0,-9.5,-2.6,0,0,0,0,GO:1901652,response to peptide,M110000,2,0
1,0,0,0,1,0,-2.5,0,0,0,-2.5,0,WP2858,Ectoderm differentiation,M100010,2,0
1,1,0,0,0,0,-3.3,-6.2,0,0,0,0,GO:0097530,granulocyte migration,M110000,2,0
0,0,1,0,0,1,0,0,-3.8,0,0,-9.8,WP306,Focal adhesion,M001001,2,0
1,0,0,1,0,0,-9.1,0,0,-3.9,0,0,R-HSA-2467813,Separation of Sister Chromatids,M100100,2,0
0,0,1,0,0,1,0,0,-6,0,0,-3.1,M243,PID ARF 3PATHWAY,M001001,2,0
1,1,0,0,0,0,-8.4,-4,0,0,0,0,WP4341,Non genomic actions of 1 25 dihydroxyvitamin D3,M110000,2,0
0,0,1,0,0,1,0,0,-5.7,0,0,-3.4,GO:0006486,protein glycosylation,M001001,2,0
1,1,0,0,0,0,-3.9,-7.5,0,0,0,0,GO:0030595,leukocyte chemotaxis,M110000,2,0
1,1,0,0,0,0,-3.1,-3.1,0,0,0,0,GO:0032732,positive regulation of interleukin-1 production,M110000,2,0
1,1,0,0,0,0,-9.4,-3,0,0,0,0,GO:0002224,toll-like receptor signaling pathway,M110000,2,0
1,1,0,0,0,0,-17,-2.3,0,0,0,0,WP5124,Alzheimer 39 s disease,M110000,2,0
0,0,0,0,1,1,0,0,0,0,-3.9,-2.8,GO:0001654,eye development,M000011,2,0
0,0,1,0,1,0,0,0,-2.5,0,-2.5,0,R-HSA-3928663,EPHA-mediated growth cone collapse,M001010,2,0
0,0,1,0,0,1,0,0,-2.1,0,0,-5.4,GO:0031032,actomyosin structure organization,M001001,2,0
1,1,0,0,0,0,-3.3,-4.9,0,0,0,0,GO:0050921,positive regulation of chemotaxis,M110000,2,0
0,0,1,0,0,1,0,0,-14,0,0,-2.2,GO:0006886,intracellular protein transport,M001001,2,0
0,1,0,0,0,1,0,-2.6,0,0,0,-2.6,GO:1904064,positive regulation of cation transmembrane transport,M010001,2,0
1,1,0,0,0,0,-8.7,-2.1,0,0,0,0,R-HSA-9010553,Regulation of expression of SLITs and ROBOs,M110000,2,0
1,1,0,0,0,0,-20,-26,0,0,0,0,M5932,HALLMARK INFLAMMATORY RESPONSE,M110000,2,0
1,1,0,0,0,0,-4.2,-6.8,0,0,0,0,GO:0050691,regulation of defense response to virus by host,M110000,2,0
0,0,0,0,1,1,0,0,0,0,-5.7,-2.5,GO:0010977,negative regulation of neuron projection development,M000011,2,0
1,1,0,0,0,0,-2.1,-2.1,0,0,0,0,GO:0002294,"CD4-positive, alpha-beta T cell differentiation involved in immune response",M110000,2,0
1,1,0,0,0,0,-2.7,-2.7,0,0,0,0,GO:0043405,regulation of MAP kinase activity,M110000,2,0
1,1,0,0,0,0,-2.9,-5.4,0,0,0,0,GO:0104004,cellular response to environmental stimulus,M110000,2,0
1,1,0,0,0,0,-4.7,-7.2,0,0,0,0,GO:0032680,regulation of tumor necrosis factor production,M110000,2,0
1,1,0,0,0,0,-15,-30,0,0,0,0,GO:0050778,positive regulation of immune response,M110000,2,0
0,0,1,1,0,0,0,0,-4.5,-2.2,0,0,GO:0006901,vesicle coating,M001100,2,0
1,1,0,0,0,0,-12,-2.6,0,0,0,0,R-HSA-4086400,PCP/CE pathway,M110000,2,0
0,0,0,0,1,1,0,0,0,0,-3.1,-3.1,GO:0072028,nephron morphogenesis,M000011,2,0
1,1,0,0,0,0,-16,-2.7,0,0,0,0,R-HSA-169911,Regulation of Apoptosis,M110000,2,0
0,0,1,0,1,0,0,0,-2,0,-6.5,0,hsa04360,Axon guidance,M001010,2,0
1,1,0,0,0,0,-15,-6.6,0,0,0,0,WP254,Apoptosis,M110000,2,0
1,0,0,1,0,0,-2.4,0,0,-3.9,0,0,GO:0072521,purine-containing compound metabolic process,M100100,2,0
0,0,0,0,1,1,0,0,0,0,-7.2,-3.7,GO:0021915,neural tube development,M000011,2,0
1,1,0,0,0,0,-4.8,-3.5,0,0,0,0,WP5038,Mitochondrial immune response to SARS CoV 2,M110000,2,0
1,0,0,0,1,0,-2,0,0,0,-2,0,GO:0009743,response to carbohydrate,M100010,2,0
1,1,0,0,0,0,-5.4,-6.1,0,0,0,0,GO:0042110,T cell activation,M110000,2,0
1,1,0,0,0,0,-3.9,-3.9,0,0,0,0,GO:0042113,B cell activation,M110000,2,0
0,0,1,1,0,0,0,0,-2.6,-5,0,0,R-HSA-5663220,RHO GTPases Activate Formins,M001100,2,0
1,1,0,0,0,0,-5.3,-5.3,0,0,0,0,R-HSA-9660826,Purinergic signaling in leishmaniasis infection,M110000,2,0
1,1,0,0,0,0,-16,-2.6,0,0,0,0,R-HSA-5362768,Hh mutants are degraded by ERAD,M110000,2,0
1,1,0,0,0,0,-11,-4.4,0,0,0,0,WP1772,Apoptosis modulation and signaling,M110000,2,0
0,0,0,1,1,0,0,0,0,-2.5,-2.5,0,WP3996,Ethanol effects on histone modifications,M000110,2,0
1,0,1,0,0,0,-15,0,-4.1,0,0,0,hsa05014,Amyotrophic lateral sclerosis,M101000,2,0
0,0,1,0,0,1,0,0,-3.4,0,0,-2.3,GO:0048489,synaptic vesicle transport,M001001,2,0
1,1,0,0,0,0,-14,-2.3,0,0,0,0,R-HSA-9793380,Formation of paraxial mesoderm,M110000,2,0
1,1,0,0,0,0,-14,-6,0,0,0,0,R-HSA-168898,Toll-like Receptor Cascades,M110000,2,0
0,0,1,0,0,1,0,0,-4.3,0,0,-2,GO:0071692,protein localization to extracellular region,M001001,2,0
1,1,0,0,0,0,-4.5,-2.4,0,0,0,0,GO:0002366,leukocyte activation involved in immune response,M110000,2,0
1,1,0,0,0,0,-5.7,-2,0,0,0,0,GO:0000302,response to reactive oxygen species,M110000,2,0
