_MEMBER_modules_epi_black_sorted_top300,_MEMBER_modules_epi_blue_sorted_top300,_MEMBER_modules_epi_pink_sorted_top300,_MEMBER_modules_epi_red_sorted_top300,_MEMBER_modules_epi_turquoise_sorted_top300,_MEMBER_modules_epi_yellow_sorted_top300,_LogP_modules_epi_black_sorted_top300,_LogP_modules_epi_blue_sorted_top300,_LogP_modules_epi_pink_sorted_top300,_LogP_modules_epi_red_sorted_top300,_LogP_modules_epi_turquoise_sorted_top300,_LogP_modules_epi_yellow_sorted_top300,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff
1,1,0,1,1,1,-14,-3.5,0,-6.5,-2.8,-8.2,M39111,M110111,5,0,Cell Type Signatures,7,AIZARANI LIVER C7 EPCAM POS BILE DUCT CELLS 2,,-14,9.7,13,30293,219,300,21,7,1.5,306|330|650|2950|3576|3696|3898|3911|4070|4301|4641|6385|6692|9076|10406|10723|23286|26137|64065|117177|387882,ANXA3|BIRC3|BMP2|GSTP1|CXCL8|ITGB8|LAD1|LAMA5|TACSTD2|AFDN|MYO1C|SDC4|SPINT1|CLDN1|WFDC2|SLC12A7|WWC1|ZBTB20|PERP|RAB3IP|C12orf75,-11,0
0,0,0,1,1,1,0,0,0,-4.9,-14,-6.3,M41716,M000111,3,0,Cell Type Signatures,7,FAN OVARY CL14 MATURE SMOOTH MUSCLE CELL,,-14,7.9,12,30293,306,300,24,8,1.6,87|388|467|800|960|1843|2316|3491|3611|3688|3726|4131|4616|6251|6876|7041|7171|7846|9260|10231|10487|10865|23022|51655,ACTN1|RHOB|ATF3|CALD1|CD44|DUSP1|FLNA|CCN1|ILK|ITGB1|JUNB|MAP1B|GADD45B|RSU1|TAGLN|TGFB1I1|TPM4|TUBA1A|PDLIM7|RCAN2|CAP1|ARID5A|PALLD|RASD1,-11,0
1,1,1,0,1,0,-6.3,-3.6,-14,0,-2.1,0,M41656,M111010,4,0,Cell Type Signatures,7,TRAVAGLINI LUNG MUCOUS CELL,,-14,14,14,30293,125,299,17,5.7,1.3,637|718|874|3486|3627|3934|5284|5918|6364|6376|7127|8743|8942|9536|9957|148170|171177,BID|C3|CBR3|IGFBP3|CXCL10|LCN2|PIGR|RARRES1|CCL20|CX3CL1|TNFAIP2|TNFSF10|KYNU|PTGES|HS3ST1|CDC42EP5|RHOV,-11,0
1,1,0,1,0,1,-4.1,-14,0,-11,0,-14,M40013,M110101,4,0,Cell Type Signatures,7,BUSSLINGER GASTRIC MATURE PIT CELLS,,-14,9.5,13,30293,224,299,21,7,1.5,230|283|1728|2217|3170|3171|6337|6819|7103|8537|8763|10099|11199|50853|51316|84418|114569|201501|201895|340547|768239,ALDOC|ANG|NQO1|FCGRT|FOXA2|FOXA3|SCNN1A|SULT1C2|TSPAN8|BCAS1|CD164|TSPAN3|ANXA10|VILL|PLAC8|CYSTM1|MAL2|ZBTB7C|SMIM14|VSIG1|PSAPL1,-11,0
1,1,1,1,1,1,-5.9,-14,-7.1,-9.1,-5.9,-9.1,M41698,M111111,6,0,Cell Type Signatures,7,TRAVAGLINI LUNG TREM2 DENDRITIC CELL,,-14,5.5,11,30293,572,299,31,10,1.8,48|54|216|292|341|537|1075|1312|1675|2217|2548|2720|2752|2990|3073|3074|4048|4069|5176|5641|5950|8804|10062|10549|11309|29952|54504|55647|60370|81622|93663,ACO1|ACP5|ALDH1A1|SLC25A5|APOC1|ATP6AP1|CTSC|COMT|CFD|FCGRT|GAA|GLB1|GLUL|GUSB|HEXA|HEXB|LTA4H|LYZ|SERPINF1|LGMN|RBP4|CREG1|NR1H3|PRDX4|SLCO2B1|DPP7|CPVL|RAB20|AVPI1|UNC93B1|ARHGAP18,-11,0
0,0,0,0,1,1,0,0,0,0,-13,-2.3,M39269,M000011,2,0,Cell Type Signatures,7,HU FETAL RETINA RGC,,-13,6.2,11,30293,443,300,27,9,1.7,43|390|1627|1783|1809|2664|3797|3831|4131|4133|7280|7321|7846|8609|10085|10121|10409|10540|10962|11031|22911|57142|65009|81631|83930|84280|259217,ACHE|RND3|DBN1|DYNC1LI2|DPYSL3|GDI1|KIF3C|KLC1|MAP1B|MAP2|TUBB2A|UBE2D1|TUBA1A|KLF7|EDIL3|ACTR1A|BASP1|DCTN2|MLLT11|RAB31|WDR47|RTN4|NDRG4|MAP1LC3B|STARD3NL|BTBD10|HSPA12A,-10,0
1,1,0,1,0,1,-3.1,-13,0,-8.1,0,-13,M40010,M110101,4,0,Cell Type Signatures,7,BUSSLINGER GASTRIC ISTHMUS CELLS,,-13,6,11,30293,458,299,27,9,1.7,476|1595|1728|2109|3170|5205|5874|6819|7103|7184|7358|8537|10099|10551|10682|11199|23446|50853|54884|56649|83998|114569|134147|155465|201501|201895|340547,ATP1A1|CYP51A1|NQO1|ETFB|FOXA2|ATP8B1|RAB27B|SULT1C2|TSPAN8|HSP90B1|UGDH|BCAS1|TSPAN3|AGR2|EBP|ANXA10|SLC44A1|VILL|RETSAT|TMPRSS4|REG4|MAL2|CMBL|AGR3|ZBTB7C|SMIM14|VSIG1,-10,0
0,0,0,0,1,0,0,0,0,0,-12,0,M39279,M000010,1,0,Cell Type Signatures,7,DURANTE ADULT OLFACTORY NEUROEPITHELIUM VASCULAR SMOOTH MUSCLE CELLS,,-12,15,14,30293,93,300,14,4.7,1.2,388|467|800|1264|2316|3726|4131|4616|6876|7041|10231|23022|27295|56892,RHOB|ATF3|CALD1|CNN1|FLNA|JUNB|MAP1B|GADD45B|TAGLN|TGFB1I1|RCAN2|PALLD|PDLIM3|TCIM,-9.7,0
1,1,0,1,0,1,-11,-7.4,0,-4,0,-12,M39125,M110101,4,0,Cell Type Signatures,7,AIZARANI LIVER C24 EPCAM POS BILE DUCT CELLS 3,,-12,9.8,12,30293,185,300,18,6,1.4,71|481|824|858|966|977|1364|1366|5792|6277|6282|7262|8407|11135|27111|27242|30851|103910,ACTG1|ATP1B1|CAPN2|CAV2|CD59|CD151|CLDN4|CLDN7|PTPRF|S100A6|S100A11|PHLDA2|TAGLN2|CDC42EP1|SDCBP2|TNFRSF21|TAX1BP3|MYL12B,-9.7,0
0,1,0,1,0,0,0,-12,0,-8.2,0,0,M39119,M010100,2,0,Cell Type Signatures,7,AIZARANI LIVER C17 HEPATOCYTES 3,,-12,14,13,30293,102,299,14,4.7,1.2,283|335|336|341|350|433|727|1191|2147|3249|5176|5345|5950|51085,ANG|APOA1|APOA2|APOC1|APOH|ASGR2|C5|CLU|F2|HPN|SERPINF1|SERPINF2|RBP4|MLXIPL,-9.1,0
1,1,1,0,1,0,-11,-2.3,-12,0,-2.3,0,M39160,M111010,4,0,Cell Type Signatures,7,GAO LARGE INTESTINE 24W C11 PANETH LIKE CELL,,-12,6.9,11,30293,325,299,22,7.4,1.5,972|2533|3459|3627|3684|4794|5724|5743|7097|7127|7128|7133|7805|8942|9308|10148|22809|58191|83593|150372|255488|259307,CD74|FYB1|IFNGR1|CXCL10|ITGAM|NFKBIE|PTAFR|PTGS2|TLR2|TNFAIP2|TNFAIP3|TNFRSF1B|LAPTM5|KYNU|CD83|EBI3|ATF5|CXCL16|RASSF5|NFAM1|RNF144B|IL4I1,-9.1,0
1,1,0,1,0,1,-2.9,-4.2,0,-12,0,-4.9,M40029,M110101,4,0,Cell Type Signatures,7,BUSSLINGER DUODENAL MATURE ENTEROCYTES,,-12,7.8,11,30293,259,300,20,6.7,1.4,1308|3691|4035|4253|4648|4680|5002|5265|5794|8714|10555|26010|30061|53841|55075|79574|83719|112483|201176|727910,COL17A1|ITGB4|LRP1|MIA2|MYO7B|CEACAM6|SLC22A18|SERPINA1|PTPRH|ABCC3|AGPAT2|SPATS2L|SLC40A1|CDHR5|UACA|EPS8L3|YPEL3|SAT2|ARHGAP27|TLCD2,-9.1,0
1,1,1,1,1,1,-4.4,-12,-7,-6.3,-4.4,-5,M39077,M111111,6,0,Cell Type Signatures,7,ZHONG PFC MAJOR TYPES MICROGLIA,,-12,5.8,10,30293,438,299,25,8.4,1.6,341|678|1075|2217|2548|2752|3073|3074|3635|4758|5176|5360|5641|7351|7494|8635|8763|8804|11309|25840|29116|29952|51162|54504|81618,APOC1|ZFP36L2|CTSC|FCGRT|GAA|GLUL|HEXA|HEXB|INPP5D|NEU1|SERPINF1|PLTP|LGMN|UCP2|XBP1|RNASET2|CD164|CREG1|SLCO2B1|TMT1A|MYLIP|DPP7|EGFL7|CPVL|ITM2C,-9,0
0,1,0,1,1,0,0,-7.2,0,-11,-7.2,0,M41708,M010110,3,0,Cell Type Signatures,7,FAN OVARY CL6 PUTATIVE EARLY ATRETIC FOLLICLE THECAL CELL 2,,-11,7.1,11,30293,300,300,21,7,1.5,348|351|633|1291|1958|2353|3880|6594|7076|7832|9528|9741|10150|10163|10577|10956|23646|28959|30061|50808|112483,APOE|APP|BGN|COL6A1|EGR1|FOS|KRT19|SMARCA1|TIMP1|BTG2|TMEM59|LAPTM4A|MBNL2|WASF2|NPC2|OS9|PLD3|TMEM176B|SLC40A1|AK3|SAT2,-8.9,0
