Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),GeneList
Reactome Gene Sets,6,R-HSA-170834,Signaling by TGF-beta Receptor Complex,,-8.7,14,11,30286,94,223,10,4.5,1.4,387|1030|3685|3726|4053|5045|5054|6498|7046|56937,RHOA|CDKN2B|ITGAV|JUNB|LTBP2|FURIN|SERPINE1|SKIL|TGFBR1|PMEPA1,-6.2,up_common_genes
WikiPathways,27,WP306,Focal adhesion,,-8.5,8.9,9.6,30286,199,223,13,5.8,1.6,60|71|387|1277|1311|1499|3371|3685|3918|5879|7408|9564|10000,ACTB|ACTG1|RHOA|COL1A1|COMP|CTNNB1|TNC|ITGAV|LAMC2|RAC1|VASP|BCAR1|AKT3,-6,up_common_genes
KEGG Pathway,24,hsa05205,Proteoglycans in cancer,,-8.4,8.7,9.5,30286,203,223,13,5.8,1.6,60|71|387|1277|1499|3685|4478|4893|5329|5879|6237|10000|81029,ACTB|ACTG1|RHOA|COL1A1|CTNNB1|ITGAV|MSN|NRAS|PLAUR|RAC1|RRAS|AKT3|WNT5B,-5.9,up_common_genes
GO Biological Processes,19,GO:0110020,regulation of actomyosin structure organization,19_GO:0050789 regulation of biological process,-8.2,13,11,30286,105,223,10,4.5,1.4,71|387|389|1490|1906|5216|5879|7046|7168|10391,ACTG1|RHOA|RHOC|CCN2|EDN1|PFN1|RAC1|TGFBR1|TPM1|CORO2B,-5.7,up_common_genes
GO Biological Processes,19,GO:0032231,regulation of actin filament bundle assembly,19_GO:0050789 regulation of biological process,-8.1,13,10,30286,107,223,10,4.5,1.4,71|387|389|1490|5216|5879|7046|7168|10391|11346,ACTG1|RHOA|RHOC|CCN2|PFN1|RAC1|TGFBR1|TPM1|CORO2B|SYNPO,-5.7,up_common_genes
GO Biological Processes,19,GO:0032233,positive regulation of actin filament bundle assembly,19_GO:0048518 positive regulation of biological process,-7.8,18,11,30286,61,223,8,3.6,1.2,387|389|1490|5216|5879|7046|7168|11346,RHOA|RHOC|CCN2|PFN1|RAC1|TGFBR1|TPM1|SYNPO,-5.4,up_common_genes
GO Biological Processes,19,GO:0043009,chordate embryonic development,19_GO:0032502 developmental process,-7.7,4.4,7.5,30286,650,223,21,9.4,2,1277|1499|1603|1906|3212|3491|3726|3976|4097|4188|5045|5216|6498|7046|7408|9546|23648|51339|60626|80790|123920,COL1A1|CTNNB1|DAD1|EDN1|HOXB2|CCN1|JUNB|LIF|MAFG|MDFI|FURIN|PFN1|SKIL|TGFBR1|VASP|APBA3|SSBP3|DACT1|RIC8A|CMIP|CMTM3,-5.4,up_common_genes
GO Biological Processes,19,GO:0007015,actin filament organization,19_GO:0009987 cellular process,-7.6,6.8,8.4,30286,279,223,14,6.3,1.6,387|389|832|1072|1264|1265|1266|1809|5879|7126|7168|7408|8407|9564,RHOA|RHOC|CAPZB|CFL1|CNN1|CNN2|CNN3|DPYSL3|RAC1|TNFAIP1|TPM1|VASP|TAGLN2|BCAR1,-5.3,up_common_genes
GO Biological Processes,19,GO:0009792,embryo development ending in birth or egg hatching,19_GO:0032502 developmental process,-7.5,4.3,7.3,30286,671,223,21,9.4,2,1277|1499|1603|1906|3212|3491|3726|3976|4097|4188|5045|5216|6498|7046|7408|9546|23648|51339|60626|80790|123920,COL1A1|CTNNB1|DAD1|EDN1|HOXB2|CCN1|JUNB|LIF|MAFG|MDFI|FURIN|PFN1|SKIL|TGFBR1|VASP|APBA3|SSBP3|DACT1|RIC8A|CMIP|CMTM3,-5.2,up_common_genes
GO Biological Processes,19,GO:0032970,regulation of actin filament-based process,19_GO:0050789 regulation of biological process,-7.5,5.6,7.9,30286,385,223,16,7.2,1.7,71|387|389|832|1265|1490|1906|5216|5879|7046|7168|7408|10391|11346|91663|122786,ACTG1|RHOA|RHOC|CAPZB|CNN2|CCN2|EDN1|PFN1|RAC1|TGFBR1|TPM1|VASP|CORO2B|SYNPO|MYADM|FRMD6,-5.2,up_common_genes
