_MEMBER_MyList,_LogP_MyList,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff,GROUP_ID,FirstInGroupByEnrichment,FirstInGroupByLogP,BestLogPInGroup,BestEnrichmentInGroup,URL
1,-3.0604623246147815,R-HSA-76009,M1,1,0,Reactome Gene Sets,6,Platelet Aggregation (Plug Formation),,-3.0604623246147815,5.27201531500174,4.62832322741391,30293,39,884,6,0.6787330316742082,0.276149642689236,1277|2147|2243|2244|2266|10125,COL1A1|F2|FGA|FGB|FGG|RASGRP1,-1.606371666501003,0,24,0,0,-3.438438041627397,7.788204442616206,
1,-2.5375971692398758,R-HSA-5686938,M1,1,0,Reactome Gene Sets,6,Regulation of TLR by endogenous ligand,,-2.5375971692398758,6.527257056668821,4.392873838983698,30293,21,884,4,0.45248868778280543,0.22573189851338754,338|2243|2244|2266,APOB|FGA|FGB|FGG,-1.1926509805511654,0,24,0,0,-3.438438041627397,7.788204442616206,
1,-2.1304397978715732,R-HSA-354192,M1,1,0,Reactome Gene Sets,6,Integrin signaling,,-2.1304397978715732,5.076755488520194,3.674252604313299,30293,27,884,4,0.45248868778280543,0.22573189851338754,2243|2244|2266|10125,FGA|FGB|FGG|RASGRP1,-0.8786757496716762,0,24,0,0,-3.438438041627397,7.788204442616206,
1,-2.062084910125803,R-HSA-354194,M1,1,0,Reactome Gene Sets,6,GRB2:SOS provides linkage to MAPK signaling for Integrins,,-2.062084910125803,6.853619909502262,3.9314841966168617,30293,15,884,3,0.3393665158371041,0.1956006006328135,2243|2244|2266,FGA|FGB|FGG,-0.83364429050853,0,24,0,0,-3.438438041627397,7.788204442616206,
1,-2.062084910125803,R-HSA-372708,M1,1,0,Reactome Gene Sets,6,p130Cas linkage to MAPK signaling for integrins,,-2.062084910125803,6.853619909502262,3.9314841966168617,30293,15,884,3,0.3393665158371041,0.1956006006328135,2243|2244|2266,FGA|FGB|FGG,-0.83364429050853,0,24,0,0,-3.438438041627397,7.788204442616206,
1,-3.3796767020701597,R-HSA-2892247,M1,1,0,Reactome Gene Sets,6,"POU5F1 (OCT4), SOX2, NANOG activate genes related to proliferation",,-3.3796767020701597,10.54403063000348,5.9672679990424,30293,13,884,4,0.45248868778280543,0.22573189851338754,2649|6997|7547|55211,NR6A1|CRIPTO|ZIC3|DPPA4,-1.8696346386272313,0,25,1,1,-3.3796767020701597,10.54403063000348,
1,-3.2515221189019137,R-HSA-452723,M1,1,0,Reactome Gene Sets,6,Transcriptional regulation of pluripotent stem cells,,-3.2515221189019137,7.139187405731523,5.216358762805233,30293,24,884,5,0.5656108597285068,0.2522324987049648,2649|6997|7547|55211|79727,NR6A1|CRIPTO|ZIC3|DPPA4|LIN28A,-1.7574681608431155,0,25,0,0,-3.3796767020701597,10.54403063000348,
1,-3.2515221189019137,R-HSA-449836,M1,1,0,Reactome Gene Sets,6,Other interleukin signaling,,-3.2515221189019137,7.139187405731523,5.216358762805233,30293,24,884,5,0.5656108597285068,0.2522324987049648,1435|1440|5803|6616|9235,CSF1|CSF3|PTPRZ1|SNAP25|IL32,-1.7574681608431155,0,26,1,1,-3.2515221189019137,7.139187405731523,
1,-3.124822350313287,R-HSA-383280,M1,1,0,Reactome Gene Sets,6,Nuclear Receptor transcription pathway,,-3.124822350313287,4.613013400626523,4.520881754092328,30293,52,884,7,0.7918552036199095,0.29810579543139754,2649|6258|7025|7068|7101|8431|9971,NR6A1|RXRG|NR2F1|THRB|NR2E1|NR0B2|NR1H4,-1.6536284687211318,0,27,1,1,-3.124822350313287,4.613013400626523,
1,-3.1002635502658853,R-HSA-629587,M1,1,0,Reactome Gene Sets,6,Highly sodium permeable postsynaptic acetylcholine nicotinic receptors,,-3.1002635502658853,14.686328377504848,6.2786315027748145,30293,7,884,3,0.3393665158371041,0.1956006006328135,1136|1137|1143,CHRNA3|CHRNA4|CHRNB4,-1.636521506475926,0,28,1,1,-3.1002635502658853,14.686328377504848,
1,-2.7390810866467605,R-HSA-629597,M1,1,0,Reactome Gene Sets,6,Highly calcium permeable nicotinic acetylcholine receptors,,-2.7390810866467605,11.422699849170437,5.421816876789789,30293,9,884,3,0.3393665158371041,0.1956006006328135,1136|1137|1143,CHRNA3|CHRNA4|CHRNB4,-1.363375534152512,0,28,0,0,-3.1002635502658853,14.686328377504848,
1,-2.349371898356925,R-HSA-622323,M1,1,0,Reactome Gene Sets,6,Presynaptic nicotinic acetylcholine receptors,,-2.349371898356925,8.567024886877828,4.545489476312381,30293,12,884,3,0.3393665158371041,0.1956006006328135,1136|1137|1143,CHRNA3|CHRNA4|CHRNB4,-1.0434498175699214,0,28,0,0,-3.1002635502658853,14.686328377504848,
1,-2.349371898356925,R-HSA-629594,M1,1,0,Reactome Gene Sets,6,Highly calcium permeable postsynaptic nicotinic acetylcholine receptors,,-2.349371898356925,8.567024886877828,4.545489476312381,30293,12,884,3,0.3393665158371041,0.1956006006328135,1136|1137|1143,CHRNA3|CHRNA4|CHRNB4,-1.0434498175699214,0,28,0,0,-3.1002635502658853,14.686328377504848,
1,-2.062084910125803,R-HSA-181431,M1,1,0,Reactome Gene Sets,6,Acetylcholine binding and downstream events,,-2.062084910125803,6.853619909502262,3.9314841966168617,30293,15,884,3,0.3393665158371041,0.1956006006328135,1136|1137|1143,CHRNA3|CHRNA4|CHRNB4,-0.83364429050853,0,28,0,0,-3.1002635502658853,14.686328377504848,
1,-2.062084910125803,R-HSA-622327,M1,1,0,Reactome Gene Sets,6,Postsynaptic nicotinic acetylcholine receptors,,-2.062084910125803,6.853619909502262,3.9314841966168617,30293,15,884,3,0.3393665158371041,0.1956006006328135,1136|1137|1143,CHRNA3|CHRNA4|CHRNB4,-0.83364429050853,0,28,0,0,-3.1002635502658853,14.686328377504848,
1,-2.925252223905524,R-HSA-1630316,M1,1,0,Reactome Gene Sets,6,Glycosaminoglycan metabolism,,-2.925252223905524,2.9916594843065436,3.884045220172734,30293,126,884,11,1.244343891402715,0.3728422042887166,960|1634|2331|6385|9435|9469|9951|10331|10675|55790|57214,CD44|DCN|FMOD|SDC4|CHST2|CHST3|HS3ST4|B3GNT3|CSPG5|CSGALNACT1|CEMIP,-1.5207203452325695,0,29,1,1,-2.925252223905524,12.850537330316742,
1,-2.905665172774711,R-HSA-3595172,M1,1,0,Reactome Gene Sets,6,Defective CHST3 causes SEDCJD,,-2.905665172774711,12.850537330316742,5.811914612343412,30293,8,884,3,0.3393665158371041,0.1956006006328135,1634|9469|10675,DCN|CHST3|CSPG5,-1.505370347045011,0,29,0,0,-2.925252223905524,12.850537330316742,
1,-2.6193200477407994,R-HSA-2022870,M1,1,0,Reactome Gene Sets,6,Chondroitin sulfate biosynthesis,,-2.6193200477407994,6.853619909502262,4.540061798676904,30293,20,884,4,0.45248868778280543,0.22573189851338754,1634|9469|10675|55790,DCN|CHST3|CSPG5|CSGALNACT1,-1.2515109760925849,0,29,0,0,-2.925252223905524,12.850537330316742,
1,-2.182382577478096,R-HSA-3560782,M1,1,0,Reactome Gene Sets,6,Diseases associated with glycosaminoglycan metabolism,,-2.182382577478096,4.179036530184306,3.5315094994781493,30293,41,884,5,0.5656108597285068,0.2522324987049648,1634|2331|6385|9469|10675,DCN|FMOD|SDC4|CHST3|CSPG5,-0.9059710941996308,0,29,0,0,-2.925252223905524,12.850537330316742,
1,-2.1420019248576994,R-HSA-71387,M1,1,0,Reactome Gene Sets,6,Metabolism of carbohydrates,,-2.1420019248576994,1.9483534859789042,2.8571867235478168,30293,299,884,17,1.9230769230769231,0.4619081359762129,216|230|960|1634|2331|2821|3099|5210|6385|9435|9469|9951|10331|10675|10690|55790|57214,ALDH1A1|ALDOC|CD44|DCN|FMOD|GPI|HK2|PFKFB4|SDC4|CHST2|CHST3|HS3ST4|B3GNT3|CSPG5|FUT9|CSGALNACT1|CEMIP,-0.8786757496716762,0,29,0,0,-2.925252223905524,12.850537330316742,
1,-2.8313339930869335,R-HSA-163125,M1,1,0,Reactome Gene Sets,6,Post-translational modification: synthesis of GPI-anchored proteins,,-2.8313339930869335,3.3523140861695846,3.917676208048496,30293,92,884,9,1.0180995475113122,0.33763455179887303,1087|4061|4062|7070|8434|50863|51299|116372|154064,CEACAM7|LY6E|LY6H|THY1|RECK|NTM|NRN1|LYPD1|RAET1L,-1.4352352819508418,0,30,1,1,-2.8313339930869335,3.3523140861695846,
1,-2.7390810866467605,R-HSA-9754706,M1,1,0,Reactome Gene Sets,6,Atorvastatin ADME,,-2.7390810866467605,11.422699849170437,5.421816876789789,30293,9,884,3,0.3393665158371041,0.1956006006328135,1244|5446|11309,ABCC2|PON3|SLCO2B1,-1.363375534152512,0,31,1,1,-2.7390810866467605,11.422699849170437,
1,-2.062084910125803,R-HSA-189483,M1,1,0,Reactome Gene Sets,6,Heme degradation,,-2.062084910125803,6.853619909502262,3.9314841966168617,30293,15,884,3,0.3393665158371041,0.1956006006328135,1244|2168|11309,ABCC2|FABP1|SLCO2B1,-0.83364429050853,0,31,0,0,-2.7390810866467605,11.422699849170437,
