_MEMBER_down_common_genes,_MEMBER_down_epi_only,_MEMBER_down_mes_only,_MEMBER_down_mes_up_epi,_MEMBER_up_common_genes,_MEMBER_up_epi_only,_MEMBER_up_mes_down_epi,_MEMBER_up_mes_only,_LogP_down_common_genes,_LogP_down_epi_only,_LogP_down_mes_only,_LogP_down_mes_up_epi,_LogP_up_common_genes,_LogP_up_epi_only,_LogP_up_mes_down_epi,_LogP_up_mes_only,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff
0,0,1,1,1,1,0,0,0,0,-2.3,-8.9,-16,-4.5,0,0,M41716,M00111100,4,0,Cell Type Signatures,7,FAN OVARY CL14 MATURE SMOOTH MUSCLE CELL,,-16,10,14,30286,306,223,23,10,2,60|387|389|633|1397|1465|2354|3315|3491|3726|4162|4616|5216|5879|6282|6876|7041|7168|8870|9260|23022|91663|140606,ACTB|RHOA|RHOC|BGN|CRIP2|CSRP1|FOSB|HSPB1|CCN1|JUNB|MCAM|GADD45B|PFN1|RAC1|S100A11|TAGLN|TGFB1I1|TPM1|IER3|PDLIM7|PALLD|MYADM|SELENOM,-13,0
1,1,0,0,0,0,0,0,-2.8,-15,0,0,0,0,0,0,M39118,M11000000,2,0,Cell Type Signatures,7,AIZARANI LIVER C14 HEPATOCYTES 2,,-15,9.5,13,30286,226,324,23,7.1,1.4,173|216|259|336|338|350|433|1892|1962|2147|2168|2628|2938|2939|3158|5345|7276|10247|10840|29974|51085|92840|256394,AFM|ALDH1A1|AMBP|APOA2|APOB|APOH|ASGR2|ECHS1|EHHADH|F2|FABP1|GATM|GSTA1|GSTA2|HMGCS2|SERPINF2|TTR|RIDA|ALDH1L1|A1CF|MLXIPL|REEP6|SERPINA11,-12,0
0,0,1,1,1,1,0,1,0,0,-6.3,-4.3,-15,-6.2,0,-5.6,M41659,M00111101,5,0,Cell Type Signatures,7,TRAVAGLINI LUNG ALVEOLAR EPITHELIAL TYPE 1 CELL,,-15,8.3,13,30286,391,223,24,11,2.1,60|71|1030|1397|1490|1603|1906|3315|3491|3855|3918|4616|5743|5791|6237|6876|7126|10272|11031|27295|55679|55700|91252|91663,ACTB|ACTG1|CDKN2B|CRIP2|CCN2|DAD1|EDN1|HSPB1|CCN1|KRT7|LAMC2|GADD45B|PTGS2|PTPRE|RRAS|TAGLN|TNFAIP1|FSTL3|RAB31|PDLIM3|LIMS2|MAP7D1|SLC39A13|MYADM,-11,0
0,0,0,1,1,1,0,0,0,0,0,-14,-11,-4.7,0,0,M41715,M00011100,3,0,Cell Type Signatures,7,FAN OVARY CL13 MONOCYTE MACROPHAGE,,-14,9,13,30286,458,162,22,14,2.7,960|1326|2014|2879|2907|3162|3576|3956|4792|5698|6275|6277|6648|6892|7456|8837|9802|10318|10550|10938|51762|79180,CD44|MAP3K8|EMP3|GPX4|GRINA|HMOX1|CXCL8|LGALS1|NFKBIA|PSMB9|S100A4|S100A6|SOD2|TAPBP|WIPF1|CFLAR|DAZAP2|TNIP1|ARL6IP5|EHD1|RAB8B|EFHD2,-11,0
0,0,0,1,0,1,0,0,0,0,0,-3.4,0,-14,0,0,M39160,M00010100,2,0,Cell Type Signatures,7,GAO LARGE INTESTINE 24W C11 PANETH LIKE CELL,,-14,8.6,12,30286,325,239,22,9.2,1.9,330|2920|2921|3552|3684|3936|4318|4814|5724|7107|7124|7185|7852|8676|23313|27128|29887|29933|51561|57162|118788|150372,BIRC3|CXCL2|CXCL3|IL1A|ITGAM|LCP1|MMP9|NINJ1|PTAFR|GPR137B|TNF|TRAF1|CXCR4|STX11|KIAA0930|CYTH4|SNX10|GPR132|IL23A|PELI1|PIK3AP1|NFAM1,-10,0
1,0,1,1,1,1,0,1,-2.9,0,-6.2,-8.7,-13,-3.7,0,-3,M39050,M10111101,6,0,Cell Type Signatures,7,MANNO MIDBRAIN NEUROTYPES HPERIC,,-13,5.3,11,30286,795,223,31,14,2.3,389|633|2354|3315|3491|3685|3726|4017|4162|4478|4616|5216|5329|5743|6237|6525|6876|7045|7126|8407|9902|11346|23597|25960|30008|51339|56937|83786|91010|91663|122786,RHOC|BGN|FOSB|HSPB1|CCN1|ITGAV|JUNB|LOXL2|MCAM|MSN|GADD45B|PFN1|PLAUR|PTGS2|RRAS|SMTN|TAGLN|TGFBI|TNFAIP1|TAGLN2|MRC2|SYNPO|ACOT9|ADGRA2|EFEMP2|DACT1|PMEPA1|FRMD8|FMNL3|MYADM|FRMD6,-10,0
1,1,1,0,0,0,0,0,-5.6,-13,-3,0,0,0,0,0,M40027,M11100000,3,0,Cell Type Signatures,7,BUSSLINGER DUODENAL EARLY IMMATURE ENTEROCYTES,,-13,13,14,30286,113,324,16,4.9,1.2,13|126|216|760|1644|2168|2628|2938|2939|3158|4547|7103|57016|79154|92840|284422,AADAC|ADH1C|ALDH1A1|CA2|DDC|FABP1|GATM|GSTA1|GSTA2|HMGCS2|MTTP|TSPAN8|AKR1B10|DHRS11|REEP6|SMIM24,-9.9,0
1,0,1,1,1,0,0,0,-3.3,0,-5.1,-4.4,-13,0,0,0,M41708,M10111000,4,0,Cell Type Signatures,7,FAN OVARY CL6 PUTATIVE EARLY ATRETIC FOLLICLE THECAL CELL 2,,-13,9.1,12,30286,300,223,20,9,1.9,389|633|832|1277|1465|2354|3486|3491|3726|4616|6876|7041|7168|8870|23022|27295|30008|54587|91663|140606,RHOC|BGN|CAPZB|COL1A1|CSRP1|FOSB|IGFBP3|CCN1|JUNB|GADD45B|TAGLN|TGFB1I1|TPM1|IER3|PALLD|PDLIM3|EFEMP2|MXRA8|MYADM|SELENOM,-9.8,0
1,1,0,0,1,0,1,1,-4.9,-9.7,0,0,-5.1,0,-13,-4.8,M40010,M11001011,5,0,Cell Type Signatures,7,BUSSLINGER GASTRIC ISTHMUS CELLS,,-13,7.7,11,30286,458,188,22,12,2.3,2803|4008|6185|6238|7184|7358|8543|8714|9761|10130|10367|10960|11231|23184|23196|23753|55500|56005|56889|83660|90993|375056,GOLGA4|LMO7|RPN2|RRBP1|HSP90B1|UGDH|LMO4|ABCC3|MLEC|PDIA6|MICU1|LMAN2|SEC63|MESD|FAM120A|SDF2L1|ETNK1|MYDGF|TM9SF3|TLN2|CREB3L1|MIA3,-9.7,0
0,1,0,0,0,0,0,0,0,-13,0,0,0,0,0,0,M40011,M01000000,1,0,Cell Type Signatures,7,BUSSLINGER GASTRIC METALLOTHIONEIN CELLS,,-13,14,14,30286,100,324,15,4.6,1.2,13|126|216|218|760|3248|6819|7032|7103|10551|11199|57016|114569|284422|340547,AADAC|ADH1C|ALDH1A1|ALDH3A1|CA2|HPGD|SULT1C2|TFF2|TSPAN8|AGR2|ANXA10|AKR1B10|MAL2|SMIM24|VSIG1,-9.5,0
