_MEMBER_down_common_genes,_MEMBER_down_epi_only,_MEMBER_down_mes_only,_MEMBER_down_mes_up_epi,_MEMBER_up_common_genes,_MEMBER_up_epi_only,_MEMBER_up_mes_down_epi,_MEMBER_up_mes_only,_LogP_down_common_genes,_LogP_down_epi_only,_LogP_down_mes_only,_LogP_down_mes_up_epi,_LogP_up_common_genes,_LogP_up_epi_only,_LogP_up_mes_down_epi,_LogP_up_mes_only,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff
0,1,0,0,0,1,0,0,0,-3.5,0,0,0,-2,0,0,PGB:00106,M01000100,2,0,PaGenBase,36,Cell-specific: Breast cell,,-3.5,8.5,5.8,30286,55,324,5,1.5,0.68,5618|10551|79632|114569|155465,PRLR|AGR2|FAM184A|MAL2|AGR3,-2.2,0
0,0,0,1,0,0,0,0,0,0,0,-3.5,0,0,0,0,PGB:00026,M00010000,1,0,PaGenBase,36,Tissue-specific: Blood,,-3.5,5.5,5.1,30286,239,162,7,4.3,1.6,3431|3659|3660|5698|6275|6737|7321,SP110|IRF1|IRF2|PSMB9|S100A4|TRIM21|UBE2D1,-2.2,0
0,1,0,0,0,0,0,0,0,-3.1,0,0,0,0,0,0,PGB:00023,M01000000,1,0,PaGenBase,36,Tissue-specific: heart,,-3.1,3.2,4.1,30286,320,324,11,3.4,1,2626|2740|3329|5625|7134|7273|7276|54658|151258|283375|285025,GATA4|GLP1R|HSPD1|PRODH|TNNC1|TTN|TTR|UGT1A1|SLC38A11|SLC39A5|CCDC141,-2,0
0,1,0,0,0,0,0,0,0,-3.1,0,0,0,0,0,0,PGB:00120,M01000000,1,0,PaGenBase,36,Cell-specific: IGROV1,,-3.1,16,6.6,30286,17,324,3,0.93,0.53,5625|6519|22837,PRODH|SLC3A1|COBLL1,-2,0
0,0,0,1,0,0,0,0,0,0,0,-3,0,0,0,0,PGB:00024,M00010000,1,0,PaGenBase,36,Tissue-specific: Amygdala,,-3,15,6.2,30286,38,162,3,1.9,1.1,2774|3996|50861,GNAL|LLGL1|STMN3,-1.9,0
0,0,0,0,0,1,0,0,0,0,0,0,0,-2.8,0,0,PGB:00013,M00000100,1,0,PaGenBase,36,Tissue-specific: skin,,-2.8,4.2,4.2,30286,210,239,7,2.9,1.1,1827|2810|3732|6274|8626|23650|79056,RCAN1|SFN|CD82|S100A3|TP63|TRIM29|PRRG4,-1.8,0
1,0,0,0,0,0,0,0,-2.7,0,0,0,0,0,0,0,PGB:00033,M10000000,1,0,PaGenBase,36,Tissue-specific: thyroid,,-2.7,4,4,30286,233,230,7,3,1.1,817|4059|6641|6649|8751|10404|23062,CAMK2D|BCAM|SNTB1|SOD3|ADAM15|CPQ|GGA2,-1.7,0
1,0,0,0,0,0,0,0,-2.5,0,0,0,0,0,0,0,PGB:00028,M10000000,1,0,PaGenBase,36,Tissue-specific: skeletal muscle,,-2.5,3.1,3.6,30286,384,230,9,3.9,1.3,286|2593|2752|2820|3075|5213|9659|56997|79041,ANK1|GAMT|GLUL|GPD2|CFH|PFKM|PDE4DIP|COQ8A|TMEM38A,-1.6,0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,-2.5,0,PGB:00036,M00000010,1,0,PaGenBase,36,Tissue-specific: retinoblastoma,,-2.5,6.6,4.4,30286,97,188,4,2.1,1.1,22943|23509|23576|90993,DKK1|POFUT1|DDAH1|CREB3L1,-1.6,0
0,0,0,1,0,0,0,0,0,0,0,-2.5,0,0,0,0,PGB:00138,M00010000,1,0,PaGenBase,36,Cell-specific: BDCA4+ Dentritic Cells,,-2.5,10,5,30286,56,162,3,1.9,1.1,1847|27242|404093,DUSP5|TNFRSF21|CUEDC1,-1.5,0
0,0,0,0,1,0,0,0,0,0,0,0,-2.5,0,0,0,PGB:00104,M00001000,1,0,PaGenBase,36,Cell-specific: CD33+ Myeloid,,-2.5,9.9,4.9,30286,41,223,3,1.3,0.77,1263|2354|10221,PLK3|FOSB|TRIB1,-1.5,0
0,0,1,0,0,0,0,0,0,0,-2.4,0,0,0,0,0,PGB:00126,M00100000,1,0,PaGenBase,36,Cell-specific: SHSYSY-RA,,-2.4,9.8,4.9,30286,45,206,3,1.5,0.83,1949|6616|65998,EFNB3|SNAP25|ZFTA,-1.5,0
1,0,0,0,0,1,0,0,-2.4,0,0,0,0,-2.4,0,0,PGB:00039,M10000100,2,0,PaGenBase,36,Tissue-specific: uterus,,-2.4,6.3,4.3,30286,83,230,4,1.7,0.86,1287|1288|5980|10526,COL4A5|COL4A6|REV3L|IPO8,-1.5,0
0,1,0,0,0,0,0,0,0,-2.1,0,0,0,0,0,0,PGB:00102,M01000000,1,0,PaGenBase,36,Cell-specific: LNCAP,,-2.1,7.6,4.2,30286,37,324,3,0.93,0.53,2938|7366|79098,GSTA1|UGT2B15|C1orf116,-1.3,0
