_MEMBER_down_common_genes,_MEMBER_down_epi_only,_MEMBER_down_mes_only,_MEMBER_down_mes_up_epi,_MEMBER_up_common_genes,_MEMBER_up_epi_only,_MEMBER_up_mes_down_epi,_MEMBER_up_mes_only,_LogP_down_common_genes,_LogP_down_epi_only,_LogP_down_mes_only,_LogP_down_mes_up_epi,_LogP_up_common_genes,_LogP_up_epi_only,_LogP_up_mes_down_epi,_LogP_up_mes_only,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff,GROUP_ID,FirstInGroupByEnrichment,FirstInGroupByLogP,BestLogPInGroup,BestEnrichmentInGroup,URL
0,0,1,0,0,0,0,0,0.0,0.0,-3.1116712026382447,0.0,0.0,0.0,0.0,0.0,GO:0071371,M00100000,1,0,GO Biological Processes,19,cellular response to gonadotropin stimulus,19_GO:0050896 response to stimulus,-3.7714959694403105,5.329361488185018,5.154784909215589,30286,18,2210,7,0.3167420814479638,0.11952750606143063,1545|1909|1946|2627|2729|3624|26012,CYP1B1|EDNRA|EFNA5|GATA6|GCLC|INHBA|NSMF,-2.5281009908124923,0,353.0,1.0,1.0,-3.7714959694403105,5.329361488185018,
0,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,-3.7698726939744924,0.0,0.0,WP399,M00000100,1,0,WikiPathways,27,Wnt signaling pathway and pluripotency,,-3.7698726939744924,7.392238223090066,5.791630514151699,30286,102,241,6,2.4896265560165975,1.003653936848349,4316|5515|7476|7477|85407|85409,MMP7|PPP2CA|WNT7A|WNT7B|NKD1|NKD2,-2.6168521826664857,0,354.0,1.0,1.0,-3.7698726939744924,7.392238223090066,
0,0,0,1,0,0,0,0,0.0,0.0,0.0,-3.7693144937508296,0.0,0.0,0.0,0.0,GO:0060413,M00010000,1,0,GO Biological Processes,19,atrial septum morphogenesis,19_GO:0032502 developmental process,-3.7693144937508296,27.041071428571424,8.708030815158303,30286,15,224,3,1.3392857142857142,0.7680415876600462,90|659|6659,ACVR1|BMPR2|SOX4,-2.6168521826664857,0,190.0,0.0,0.0,-5.861214873566443,45.06845238095239,
0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,-3.766781481784713,0.0,0.0,0.0,hsa04370,M00001000,1,0,KEGG Pathway,24,VEGF signaling pathway,,-3.766781481784713,9.648910411622275,6.259492807425463,30286,59,266,5,1.8796992481203008,0.8326889488405774,3315|4893|5293|8605|9261,HSPB1|NRAS|PIK3CD|PLA2G4C|MAPKAPK2,-2.6146358272815893,0,308.0,0.0,0.0,-4.3113906817512335,9.648910411622275,
0,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,-3.766106618335328,0.0,0.0,GO:0010812,M00000100,1,0,GO Biological Processes,19,negative regulation of cell-substrate adhesion,19_GO:0048519 negative regulation of biological process,-3.766106618335328,9.666773060963934,6.264636748526543,30286,65,241,5,2.074688796680498,0.9181538080340236,182|1277|4321|9448|23603,JAG1|COL1A1|MMP12|MAP4K4|CORO1C,-2.6142773896982265,0,355.0,1.0,1.0,-3.766106618335328,12.566804979253112,
0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,-3.7635302402004265,0.0,0.0,0.0,R-HSA-5260271,M00001000,1,0,Reactome Gene Sets,6,Diseases of Immune System,,-3.7635302402004265,14.232142857142856,7.0495765726565605,30286,32,266,4,1.5037593984962405,0.7462050543663404,3551|4792|7187|10333,IKBKB|NFKBIA|TRAF3|TLR6,-2.612577964767768,0,31.0,0.0,0.0,-14.388421795170897,31.051948051948056,
0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,-3.7635302402004265,0.0,0.0,0.0,R-HSA-5602358,M00001000,1,0,Reactome Gene Sets,6,Diseases associated with the TLR signaling cascade,,-3.7635302402004265,14.232142857142856,7.0495765726565605,30286,32,266,4,1.5037593984962405,0.7462050543663404,3551|4792|7187|10333,IKBKB|NFKBIA|TRAF3|TLR6,-2.612577964767768,0,31.0,0.0,0.0,-14.388421795170897,31.051948051948056,
0,1,0,0,0,0,0,0,0.0,-3.7632696902286367,0.0,0.0,0.0,0.0,0.0,0.0,R-HSA-186712,M01000000,1,0,Reactome Gene Sets,6,Regulation of beta-cell development,,-3.7632696902286367,9.51910988182047,6.218246540057733,30286,41,388,5,1.288659793814433,0.5725808260534446,3170|3171|3174|3280|390874,FOXA2|FOXA3|HNF4G|HES1|ONECUT3,-2.612577964767768,0,194.0,0.0,0.0,-5.795540815045589,15.0109040444092,
0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,-3.7628180567532254,0.0,0.0,0.0,hsa04650,M00001000,1,0,KEGG Pathway,24,Natural killer cell mediated cytotoxicity,,-3.7628180567532254,6.037878787878789,5.460236802283196,30286,132,266,7,2.6315789473684212,0.9814686842291973,3106|3135|3383|4893|5293|8743|8795,HLA-B|HLA-G|ICAM1|NRAS|PIK3CD|TNFSF10|TNFRSF10B,-2.612577964767768,0,6.0,0.0,0.0,-21.992881754746065,14.654879773691654,
0,0,0,1,0,0,0,0,0.0,0.0,0.0,-2.8834417545433166,0.0,0.0,0.0,0.0,GO:0021545,M00010000,1,0,GO Biological Processes,19,cranial nerve development,19_GO:0032502 developmental process,-3.7617724361959755,2.9977658371040725,4.488645190637274,30286,64,2210,14,0.6334841628959276,0.16876864952077034,1141|1902|1959|2065|3200|3280|4914|5205|6495|8828|10370|51804|55558|57007,CHRNB2|LPAR1|EGR2|ERBB3|HOXA3|HES1|NTRK1|ATP8B1|SIX1|NRP2|CITED2|SIX4|PLXNA3|ACKR3,-2.5191995217681264,0,273.0,0.0,0.0,-4.708573304325169,2.9977658371040725,
