GO,Description,_LogP_modules_mes_black_sorted_top300,_LogP_modules_mes_blue_sorted_top300,_LogP_modules_mes_green_sorted_top300,_LogP_modules_mes_grey_sorted_top300,_LogP_modules_mes_pink_sorted_top300,_LogP_modules_mes_red_sorted_top300
M5947,HALLMARK IL2 STAT5 SIGNALING,-4.492797396214886,-6.964259405934672,0.0,0.0,0.0,0.0
M5902,HALLMARK APOPTOSIS,-7.096891307964902,-7.096891307964902,0.0,0.0,0.0,0.0
GO:0052547,regulation of peptidase activity,-6.317356191967613,-5.5836656758058805,0.0,0.0,0.0,0.0
hsa04217,Necroptosis,-15.797182310630081,-4.500491552658677,0.0,0.0,0.0,0.0
GO:2001233,regulation of apoptotic signaling pathway,-10.848439887629642,-4.9480578624000975,0.0,0.0,0.0,0.0
WP3858,Toll like receptor signaling related to MyD88,-10.868531706244712,-3.6193567802683515,0.0,0.0,0.0,0.0
GO:0019882,antigen processing and presentation,-2.418512564221444,-16.808690141238788,0.0,0.0,0.0,0.0
GO:0043068,positive regulation of programmed cell death,-9.839875180162876,-7.112526755981419,0.0,0.0,-2.746043720002376,0.0
GO:0008285,negative regulation of cell population proliferation,-4.371626214869253,-8.203612965212315,0.0,0.0,-2.651282281026531,0.0
WP2882,Nuclear receptors meta pathway,-7.709042368467281,-2.3654848158963673,0.0,0.0,-2.9164493728170218,0.0
GO:1901699,cellular response to nitrogen compound,-8.254308129876836,-3.669785739587305,0.0,0.0,-2.3593170803430366,0.0
GO:0010720,positive regulation of cell development,-3.7267218220545457,-4.874920011382943,-2.701824488180265,0.0,-2.7138182436017755,0.0
GO:0051336,regulation of hydrolase activity,-6.784181261873726,-6.216801700768029,-2.066255956993497,0.0,-3.701031524813962,0.0
M5891,HALLMARK HYPOXIA,0.0,-2.405422744675795,0.0,-5.297751184977324,0.0,0.0
hsa04612,Antigen processing and presentation,0.0,-10.761258554668942,0.0,-3.920879198731274,0.0,0.0
GO:0002460,adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains,0.0,-11.14062810548542,0.0,0.0,0.0,0.0
GO:0002832,negative regulation of response to biotic stimulus,0.0,-19.8713736703424,0.0,0.0,0.0,0.0
R-HSA-1169410,Antiviral mechanism by IFN-stimulated genes,0.0,-13.957670052558026,0.0,0.0,0.0,0.0
