Gene,TotalEvidenceCounts,EvidenceHit:MyList,EvidenceGO:MyList,EvidencePPI:MyList
27164,2.0,1,0,1
440348,2.0,1,0,1
333,2.0,1,0,1
4118,2.0,1,0,1
56033,2.0,1,0,1
5243,2.0,1,0,1
1952,2.0,1,0,1
79094,2.0,1,1,0
30813,2.0,1,0,1
4050,2.0,1,0,1
3670,2.0,1,0,1
1908,2.0,1,0,1
3746,2.0,1,0,1
10410,2.0,1,0,1
284099,2.0,1,0,1
3211,2.0,1,0,1
130367,2.0,1,0,1
7275,2.0,1,0,1
147741,2.0,1,0,1
389792,2.0,1,0,1
6303,2.0,1,0,1
3182,2.0,1,0,1
7757,2.0,1,0,1
10318,2.0,1,0,1
7021,2.0,1,0,1
6822,2.0,1,0,1
1510,2.0,1,0,1
4144,2.0,1,0,1
796,2.0,1,0,1
718,2.0,1,0,1
3993,2.0,1,0,1
5064,2.0,1,0,1
8022,2.0,1,0,1
3598,2.0,1,0,1
2318,2.0,1,0,1
8722,2.0,1,0,1
9052,2.0,1,0,1
2026,2.0,1,0,1
92285,2.0,1,0,1
153643,2.0,1,0,1
833,2.0,1,0,1
7153,2.0,1,0,1
341640,2.0,1,0,1
79633,2.0,1,0,1
3487,2.0,1,0,1
5456,2.0,1,0,1
27293,2.0,1,0,1
170685,2.0,1,0,1
79006,2.0,1,0,1
64641,2.0,1,0,1
9892,2.0,1,0,1
3669,2.0,1,0,1
894,2.0,1,0,1
54550,2.0,1,0,1
1641,2.0,1,0,1
6427,2.0,1,0,1
11189,2.0,1,0,1
22899,2.0,1,0,1
23194,2.0,1,0,1
5021,2.0,1,0,1
9211,2.0,1,0,1
5366,2.0,1,0,1
1044,2.0,1,0,1
6547,2.0,1,0,1
4879,2.0,1,0,1
57727,2.0,1,0,1
387104,2.0,1,0,1
7128,2.0,1,0,1
64600,2.0,1,0,1
10808,2.0,1,0,1
388585,2.0,1,0,1
4008,2.0,1,0,1
10178,2.0,1,0,1
1995,2.0,1,0,1
7020,2.0,1,0,1
134,2.0,1,0,1
6886,2.0,1,0,1
10586,2.0,1,0,1
253738,2.0,1,0,1
160428,2.0,1,0,1
9971,2.0,1,0,1
10630,2.0,1,0,1
84267,2.0,1,0,1
26232,2.0,1,0,1
55502,2.0,1,0,1
6301,2.0,1,0,1
338094,2.0,1,0,1
128866,2.0,1,0,1
56884,2.0,1,0,1
675,2.0,1,0,1
8470,2.0,1,0,1
58524,2.0,1,0,1
79570,2.0,1,0,1
55351,2.0,1,0,1
167826,2.0,1,0,1
9201,2.0,1,0,1
51199,2.0,1,0,1
3854,2.0,1,0,1
63973,2.0,1,0,1
389206,2.0,1,0,1
1512,2.0,1,0,1
132625,2.0,1,0,1
653689,2.0,1,0,1
90485,2.0,1,0,1
7052,2.0,1,0,1
7025,2.0,1,0,1
83461,2.0,1,0,1
22974,2.0,1,0,1
59284,2.0,1,0,1
644943,2.0,1,0,1
57101,2.0,1,0,1
2521,2.0,1,0,1
4070,2.0,1,0,1
2012,2.0,1,0,1
1770,2.0,1,0,1
125058,2.0,1,0,1
3151,2.0,1,0,1
3163,2.0,1,0,1
7545,2.0,1,0,1
10133,2.0,1,0,1
1469,2.0,1,0,1
10814,2.0,1,0,1
1361,2.0,1,0,1
5902,2.0,1,0,1
63876,2.0,1,0,1
653857,2.0,1,0,1
5126,2.0,1,0,1
4804,2.0,1,0,1
9290,2.0,1,0,1
729857,2.0,1,0,1
3227,2.0,1,0,1
3853,2.0,1,0,1
7295,2.0,1,0,1
57402,2.0,1,0,1
79948,2.0,1,0,1
266812,2.0,1,0,1
56944,2.0,1,0,1
51477,2.0,1,0,1
122953,2.0,1,0,1
79026,2.0,1,0,1
57616,2.0,1,0,1
79953,2.0,1,0,1
116496,2.0,1,0,1
54206,2.0,1,0,1
