_MEMBER_MyList,_LogP_MyList,GO,Description,_PATTERN_,_RANK_,GiniIndex
1,-6.1,R-HSA-75205,Dissolution of Fibrin Clot,M1,1,0
1,-2.5,R-HSA-2022923,Dermatan sulfate biosynthesis,M1,1,0
1,-9.6,R-HSA-76005,Response to elevated platelet cytosolic Ca2+,M1,1,0
1,-3.8,R-HSA-373760,L1CAM interactions,M1,1,0
1,-3.7,R-HSA-2022870,Chondroitin sulfate biosynthesis,M1,1,0
1,-2.6,R-HSA-9012852,Signaling by NOTCH3,M1,1,0
1,-6.1,R-HSA-372790,Signaling by GPCR,M1,1,0
1,-15,R-HSA-3000171,Non-integrin membrane-ECM interactions,M1,1,0
1,-4.9,R-HSA-9006936,Signaling by TGFB family members,M1,1,0
1,-4.7,R-HSA-8874081,MET activates PTK2 signaling,M1,1,0
1,-4.1,R-HSA-373752,Netrin-1 signaling,M1,1,0
1,-3.3,R-HSA-3656253,"Defective EXT1 causes exostoses 1, TRPS2 and CHDS",M1,1,0
1,-3.1,R-HSA-3772470,Negative regulation of TCF-dependent signaling by WNT ligand antagonists,M1,1,0
1,-3.4,R-HSA-3656532,TGFBR1 KD Mutants in Cancer,M1,1,0
1,-2.3,R-HSA-452723,Transcriptional regulation of pluripotent stem cells,M1,1,0
1,-5.2,R-HSA-2173789,TGF-beta receptor signaling activates SMADs,M1,1,0
1,-11,R-HSA-5173214,O-glycosylation of TSR domain-containing proteins,M1,1,0
1,-2.2,R-HSA-9009391,Extra-nuclear estrogen signaling,M1,1,0
1,-6.2,R-HSA-1638091,Heparan sulfate/heparin (HS-GAG) metabolism,M1,1,0
1,-11,R-HSA-5083635,Defective B3GALTL causes PpS,M1,1,0
1,-7.6,R-HSA-1630316,Glycosaminoglycan metabolism,M1,1,0
1,-4,R-HSA-3656535,TGFBR1 LBD Mutants in Cancer,M1,1,0
1,-2.6,R-HSA-416572,Sema4D induced cell migration and growth-cone collapse,M1,1,0
1,-2.7,R-HSA-375276,Peptide ligand-binding receptors,M1,1,0
1,-2.9,R-HSA-5683826,Surfactant metabolism,M1,1,0
1,-3.3,R-HSA-5673001,RAF/MAP kinase cascade,M1,1,0
1,-6.1,R-HSA-3560801,Defective B3GAT3 causes JDSSDHD,M1,1,0
1,-11,R-HSA-2022090,Assembly of collagen fibrils and other multimeric structures,M1,1,0
1,-2.3,R-HSA-163125,Post-translational modification: synthesis of GPI-anchored proteins,M1,1,0
1,-2.4,R-HSA-421270,Cell-cell junction organization,M1,1,0
1,-2.2,R-HSA-373080,Class B/2 (Secretin family receptors),M1,1,0
1,-2.2,R-HSA-2173788,Downregulation of TGF-beta receptor signaling,M1,1,0
1,-11,R-HSA-109582,Hemostasis,M1,1,0
1,-16,R-HSA-9006934,Signaling by Receptor Tyrosine Kinases,M1,1,0
1,-4,R-HSA-112314,Neurotransmitter receptors and postsynaptic signal transmission,M1,1,0
1,-6.7,R-HSA-1251985,Nuclear signaling by ERBB4,M1,1,0
1,-3.3,R-HSA-399955,SEMA3A-Plexin repulsion signaling by inhibiting Integrin adhesion,M1,1,0
1,-4,R-HSA-9006925,Intracellular signaling by second messengers,M1,1,0
1,-4.3,R-HSA-418594,G alpha (i) signalling events,M1,1,0
1,-15,R-HSA-381426,Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs),M1,1,0
1,-4.4,R-HSA-112315,Transmission across Chemical Synapses,M1,1,0
1,-3.3,R-HSA-390522,Striated Muscle Contraction,M1,1,0
1,-5.9,R-HSA-1793185,Chondroitin sulfate/dermatan sulfate metabolism,M1,1,0
1,-4.6,R-HSA-9758941,Gastrulation,M1,1,0
1,-3.1,R-HSA-2187338,Visual phototransduction,M1,1,0
1,-2.2,R-HSA-209952,Peptide hormone biosynthesis,M1,1,0
1,-3,R-HSA-9619665,EGR2 and SOX10-mediated initiation of Schwann cell myelination,M1,1,0
