Gene,TotalEvidenceCounts,EvidenceHit:modules_mes_black_sorted_top300,EvidenceHit:modules_mes_blue_sorted_top300,EvidenceHit:modules_mes_green_sorted_top300,EvidenceHit:modules_mes_grey_sorted_top300,EvidenceHit:modules_mes_pink_sorted_top300,EvidenceHit:modules_mes_red_sorted_top300,EvidenceGO:modules_mes_black_sorted_top300,EvidenceGO:modules_mes_blue_sorted_top300,EvidenceGO:modules_mes_green_sorted_top300,EvidenceGO:modules_mes_grey_sorted_top300,EvidenceGO:modules_mes_pink_sorted_top300,EvidenceGO:modules_mes_red_sorted_top300,EvidencePPI:modules_mes_black_sorted_top300,EvidencePPI:modules_mes_blue_sorted_top300,EvidencePPI:modules_mes_green_sorted_top300,EvidencePPI:modules_mes_grey_sorted_top300,EvidencePPI:modules_mes_pink_sorted_top300,EvidencePPI:modules_mes_red_sorted_top300
115752,2.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
272,2.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
53838,2.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
1810,2.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
84807,2.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
10873,2.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2647,2.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
605,2.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
22839,2.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
55133,2.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
26001,2.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
64318,2.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
23268,2.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
121457,2.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
58472,2.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
55255,2.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
23764,2.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
57194,2.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
23379,2.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
129607,2.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
51060,2.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
9891,2.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
11157,2.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
6096,2.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
26234,2.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
7342,2.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
80176,2.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
8914,2.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
51050,2.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
7873,2.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
26064,2.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
6520,2.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
6829,2.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
160851,2.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
55132,2.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
6819,2.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
55388,2.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
9536,2.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
27254,2.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
80332,2.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
23155,2.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
10961,2.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
7108,2.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
9168,2.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
196051,2.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
11168,2.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
643641,2.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
79939,2.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
23531,2.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
140462,2.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
10100,2.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
90378,2.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
84557,2.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
4155,2.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
23511,2.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
653140,2.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
130367,2.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
415116,2.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
28992,2.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
377,2.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
10964,2.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
83473,2.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
7464,2.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
5066,2.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
51231,2.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
9710,2.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
374354,2.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
5837,2.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
64087,2.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
4814,2.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
7178,2.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
10826,2.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
64061,2.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
158326,2.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
54780,2.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
286204,2.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
729,2.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
54915,2.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
10193,2.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
79710,2.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
160760,2.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
23158,2.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
9130,2.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2896,2.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
25932,2.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
83855,2.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
29015,2.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
387521,2.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
