Network,Annotation
up_epi_only,hsa05132|Salmonella infection|-16.3;GO:0007264|small GTPase-mediated signal transduction|-12.4;GO:0030029|actin filament-based process|-12.4
up_epi_only_MCODE_ALL,hsa04071|Sphingolipid signaling pathway|-10.5;hsa04728|Dopaminergic synapse|-10.2;M55|PID S1P S1P3 PATHWAY|-10.0
up_epi_only_SUB1_MCODE_1,R-HSA-388396|GPCR downstream signalling|-13.0;hsa04071|Sphingolipid signaling pathway|-12.8;hsa04728|Dopaminergic synapse|-12.6
up_epi_only_SUB1_MCODE_2,hsa03022|Basal transcription factors|-7.5;GO:0006352|DNA-templated transcription initiation|-5.9;GO:0006366|transcription by RNA polymerase II|-4.7
up_epi_only_SUB1_MCODE_3,GO:0008380|RNA splicing|-7.5;GO:0006397|mRNA processing|-7.2;GO:0016071|mRNA metabolic process|-6.7
up_epi_only_SUB1_MCODE_4,R-HSA-983189|Kinesins|-8.2;R-HSA-6811434|COPI-dependent Golgi-to-ER retrograde traffic|-7.5;R-HSA-2132295|MHC class II antigen presentation|-7.2
up_epi_only_SUB1_MCODE_5,R-HSA-8951664|Neddylation|-6.3
up_mes_down_epi,M5924|HALLMARK MTORC1 SIGNALING|-38.5;WP4718|Cholesterol metabolism with Bloch and Kandutsch Russell pathways|-28.4;R-HSA-191273|Cholesterol biosynthesis|-25.9
up_mes_down_epi_MCODE_ALL,GO:0006457|protein folding|-18.8;M5924|HALLMARK MTORC1 SIGNALING|-18.0;WP197|Cholesterol biosynthesis pathway|-16.6
up_mes_down_epi_SUB1_MCODE_1,M5926|HALLMARK MYC TARGETS V1|-8.6;GO:0006888|endoplasmic reticulum to Golgi vesicle-mediated transport|-7.8;R-HSA-446203|Asparagine N-linked glycosylation|-7.5
up_mes_down_epi_SUB1_MCODE_2,GO:0006457|protein folding|-8.8;GO:0034976|response to endoplasmic reticulum stress|-6.9;GO:0051604|protein maturation|-6.7
up_mes_down_epi_SUB1_MCODE_3,R-HSA-5389840|Mitochondrial translation elongation|-19.4;R-HSA-5368287|Mitochondrial translation|-19.1;GO:0032543|mitochondrial translation|-18.4
up_mes_down_epi_SUB1_MCODE_4,"R-HSA-163200|Respiratory electron transport, ATP synthesis by chemiosmotic coupling, and heat production by uncoupling proteins.|-6.4;GO:1902600|proton transmembrane transport|-6.3;GO:0046034|ATP metabolic process|-6.1"
up_mes_down_epi_SUB1_MCODE_5,GO:1902653|secondary alcohol biosynthetic process|-8.9;GO:0006695|cholesterol biosynthetic process|-8.9;GO:0016126|sterol biosynthetic process|-8.6
up_mes_down_epi_SUB1_MCODE_6,GO:0098761|cellular response to interleukin-7|-8.6;GO:0098760|response to interleukin-7|-8.5;GO:0090407|organophosphate biosynthetic process|-5.5
up_mes_down_epi_SUB1_MCODE_7,WP197|Cholesterol biosynthesis pathway|-13.4;WP5193|Cholesterol synthesis disorders|-13.1;hsa00100|Steroid biosynthesis|-12.9
up_mes_only,M5913|HALLMARK INTERFERON GAMMA RESPONSE|-13.6;GO:0006886|intracellular protein transport|-11.5;GO:0009615|response to virus|-11.1
up_mes_only_MCODE_ALL,GO:0048193|Golgi vesicle transport|-10.6;R-HSA-8953854|Metabolism of RNA|-9.5;R-HSA-6811434|COPI-dependent Golgi-to-ER retrograde traffic|-8.8
up_mes_only_SUB1_MCODE_1,R-HSA-72163|mRNA Splicing - Major Pathway|-11.7;R-HSA-72172|mRNA Splicing|-11.6;R-HSA-72203|Processing of Capped Intron-Containing Pre-mRNA|-10.7
up_mes_only_SUB1_MCODE_2,R-HSA-6811434|COPI-dependent Golgi-to-ER retrograde traffic|-15.0;R-HSA-8856688|Golgi-to-ER retrograde transport|-14.2;R-HSA-6811442|Intra-Golgi and retrograde Golgi-to-ER traffic|-13.1
up_mes_only_SUB1_MCODE_3,WP2447|Amyotrophic lateral sclerosis ALS|-7.4;hsa05417|Lipid and atherosclerosis|-7.4;hsa05014|Amyotrophic lateral sclerosis|-6.5
up_mes_only_SUB1_MCODE_5,GO:0048193|Golgi vesicle transport|-6.1
up_mes_only_SUB1_MCODE_6,GO:0042274|ribosomal small subunit biogenesis|-7.4;GO:0042254|ribosome biogenesis|-6.0;GO:0022613|ribonucleoprotein complex biogenesis|-5.4
