_MEMBER_down_common_genes,_MEMBER_down_epi_only,_MEMBER_down_mes_only,_MEMBER_down_mes_up_epi,_MEMBER_up_common_genes,_MEMBER_up_epi_only,_MEMBER_up_mes_down_epi,_MEMBER_up_mes_only,_LogP_down_common_genes,_LogP_down_epi_only,_LogP_down_mes_only,_LogP_down_mes_up_epi,_LogP_up_common_genes,_LogP_up_epi_only,_LogP_up_mes_down_epi,_LogP_up_mes_only,GO,Description,_PATTERN_,_RANK_,GiniIndex
1,0,0,0,0,0,0,0,-2,0,0,0,0,0,0,0,GO:0060193,positive regulation of lipase activity,M10000000,1,0
0,0,0,0,1,0,0,0,0,0,0,0,-3.5,0,0,0,GO:0070424,"regulation of nucleotide-binding domain, leucine rich repeat containing receptor signaling pathway",M00001000,1,0
0,1,0,0,0,0,0,0,0,-4,0,0,0,0,0,0,GO:0016266,O-glycan processing,M01000000,1,0
0,0,0,0,1,0,0,0,0,0,0,0,-2.6,0,0,0,R-HSA-450294,MAP kinase activation,M00001000,1,0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,-3.3,0,GO:0048844,artery morphogenesis,M00000010,1,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-2.2,GO:0006891,intra-Golgi vesicle-mediated transport,M00000001,1,0
0,1,0,0,0,0,0,0,0,-2.9,0,0,0,0,0,0,GO:0007589,body fluid secretion,M01000000,1,0
0,0,0,0,1,0,0,0,0,0,0,0,-23,0,0,0,R-HSA-983705,Signaling by the B Cell Receptor (BCR),M00001000,1,0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,-3.2,0,GO:0009411,response to UV,M00000010,1,0
0,1,0,0,0,0,0,0,0,-3.4,0,0,0,0,0,0,R-HSA-193775,Synthesis of bile acids and bile salts via 24-hydroxycholesterol,M01000000,1,0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,-19,0,WP197,Cholesterol biosynthesis pathway,M00000010,1,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-3.5,GO:0034067,protein localization to Golgi apparatus,M00000001,1,0
0,0,0,0,1,0,0,0,0,0,0,0,-2.2,0,0,0,R-HSA-2990846,SUMOylation,M00001000,1,0
0,0,0,0,0,1,0,0,0,0,0,0,0,-3.1,0,0,GO:0019915,lipid storage,M00000100,1,0
0,0,0,0,1,0,0,0,0,0,0,0,-2.4,0,0,0,GO:0007193,adenylate cyclase-inhibiting G protein-coupled receptor signaling pathway,M00001000,1,0
0,1,0,0,0,0,0,0,0,-2.9,0,0,0,0,0,0,R-HSA-9749641,Aspirin ADME,M01000000,1,0
0,0,0,0,1,0,0,0,0,0,0,0,-2.1,0,0,0,GO:0010212,response to ionizing radiation,M00001000,1,0
0,0,0,0,1,0,0,0,0,0,0,0,-2.7,0,0,0,GO:0002244,hematopoietic progenitor cell differentiation,M00001000,1,0
0,0,0,0,1,0,0,0,0,0,0,0,-11,0,0,0,GO:0043161,proteasome-mediated ubiquitin-dependent protein catabolic process,M00001000,1,0
0,1,0,0,0,0,0,0,0,-2.3,0,0,0,0,0,0,GO:0031100,animal organ regeneration,M01000000,1,0
0,0,0,0,1,0,0,0,0,0,0,0,-4.1,0,0,0,GO:0032088,negative regulation of NF-kappaB transcription factor activity,M00001000,1,0
0,0,1,0,0,0,0,0,0,0,-2.7,0,0,0,0,0,GO:0072091,regulation of stem cell proliferation,M00100000,1,0
0,0,0,0,1,0,0,0,0,0,0,0,-5.5,0,0,0,GO:0002699,positive regulation of immune effector process,M00001000,1,0
0,1,0,0,0,0,0,0,0,-2.2,0,0,0,0,0,0,GO:0030832,regulation of actin filament length,M01000000,1,0
0,0,0,0,1,0,0,0,0,0,0,0,-2.7,0,0,0,R-HSA-164952,The role of Nef in HIV-1 replication and disease pathogenesis,M00001000,1,0
0,0,0,0,1,0,0,0,0,0,0,0,-5.7,0,0,0,GO:0060907,positive regulation of macrophage cytokine production,M00001000,1,0
0,0,0,0,1,0,0,0,0,0,0,0,-3.6,0,0,0,R-HSA-9833109,Evasion by RSV of host interferon responses,M00001000,1,0
0,0,0,0,0,1,0,0,0,0,0,0,0,-2.1,0,0,GO:0043467,regulation of generation of precursor metabolites and energy,M00000100,1,0
0,0,0,0,1,0,0,0,0,0,0,0,-4.6,0,0,0,GO:0062098,regulation of programmed necrotic cell death,M00001000,1,0
0,1,0,0,0,0,0,0,0,-3.7,0,0,0,0,0,0,R-HSA-9748784,Drug ADME,M01000000,1,0
0,0,0,0,1,0,0,0,0,0,0,0,-3.2,0,0,0,GO:0070266,necroptotic process,M00001000,1,0
0,0,0,0,1,0,0,0,0,0,0,0,-2.2,0,0,0,hsa04068,FoxO signaling pathway,M00001000,1,0
