_MEMBER_down_common_genes,_MEMBER_down_epi_only,_MEMBER_down_mes_only,_MEMBER_down_mes_up_epi,_MEMBER_up_common_genes,_MEMBER_up_epi_only,_MEMBER_up_mes_down_epi,_MEMBER_up_mes_only,_LogP_down_common_genes,_LogP_down_epi_only,_LogP_down_mes_only,_LogP_down_mes_up_epi,_LogP_up_common_genes,_LogP_up_epi_only,_LogP_up_mes_down_epi,_LogP_up_mes_only,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff,GROUP_ID,FirstInGroupByEnrichment,FirstInGroupByLogP,BestLogPInGroup,BestEnrichmentInGroup,URL
0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,-9.825447390116315,0.0,0.0,0.0,GO:0060759,M00001000,1,0,GO Biological Processes,19,regulation of response to cytokine stimulus,19_GO:0050896 response to stimulus,-9.825447390116315,9.03628117913832,10.432146686744012,30286,189,266,15,5.639097744360902,1.4143602276754685,1540|1906|2950|3656|4940|7128|7186|8767|9261|9641|10010|10019|23586|64135|84888,CYLD|EDN1|GSTP1|IRAK2|OAS3|TNFAIP3|TRAF2|RIPK2|MAPKAPK2|IKBKE|TANK|SH2B3|RIGI|IFIH1|SPPL2A,-7.957551551112289,0,62.0,0.0,0.0,-11.09915326881079,22.771428571428576,
0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,-9.817577736100992,0.0,0.0,0.0,hsa05166,M00001000,1,0,KEGG Pathway,24,Human T-cell leukemia virus 1 infection,,-9.817577736100992,8.205920205920204,10.143593060305744,30286,222,266,16,6.015037593984962,1.4578322073862429,1030|2113|3105|3106|3107|3135|3383|4790|4791|4792|4893|5293|5970|5971|6776|7157,CDKN2B|ETS1|HLA-A|HLA-B|HLA-C|HLA-G|ICAM1|NFKB1|NFKB2|NFKBIA|NRAS|PIK3CD|RELA|RELB|STAT5A|TP53,-7.951323844163943,0,35.0,0.0,0.0,-13.557925634015941,56.92857142857144,
0,0,0,0,1,1,0,0,0.0,0.0,0.0,0.0,-9.806626415433529,-3.3207123464835573,0.0,0.0,hsa04217,M00001100,2,0,KEGG Pathway,24,Necroptosis,,-9.806626415433529,10.025157232704403,10.740503934686165,30286,159,266,14,5.2631578947368425,1.3691210045117685,329|637|1540|3455|3459|3460|6776|7128|7186|7297|8605|8795|8837|148022,BIRC2|BID|CYLD|IFNAR2|IFNGR1|IFNGR2|STAT5A|TNFAIP3|TRAF2|TYK2|PLA2G4C|TNFRSF10B|CFLAR|TICAM1,-7.942008286190739,0,86.0,1.0,1.0,-9.806626415433529,31.051948051948056,
0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,-9.796925189448707,0.0,0.0,0.0,R-HSA-69206,M00001000,1,0,Reactome Gene Sets,6,G1/S Transition,,-9.796925189448707,11.298800436205017,11.119669710760965,30286,131,266,13,4.887218045112782,1.321933114415392,5685|5687|5690|5692|5701|5704|5707|5709|5713|5717|5720|5721|10213,PSMA4|PSMA6|PSMB2|PSMB4|PSMC2|PSMC4|PSMD1|PSMD3|PSMD7|PSMD11|PSME1|PSME2|PSMD14,-7.933936684939426,0,1.0,0.0,0.0,-37.83262759972359,34.652173913043484,
0,0,0,0,1,0,0,1,0.0,0.0,0.0,0.0,-9.793119670353974,0.0,0.0,-2.9733557569578393,R-HSA-2467813,M00001001,2,0,Reactome Gene Sets,6,Separation of Sister Chromatids,,-9.793119670353974,8.988721804511277,10.397979873960312,30286,190,266,15,5.639097744360902,1.4143602276754685,5685|5687|5690|5692|5701|5704|5707|5709|5713|5717|5720|5721|10213|22919|84790,PSMA4|PSMA6|PSMB2|PSMB4|PSMC2|PSMC4|PSMD1|PSMD3|PSMD7|PSMD11|PSME1|PSME2|PSMD14|MAPRE1|TUBA1C,-7.9317546985089065,0,1.0,0.0,0.0,-37.83262759972359,34.652173913043484,
0,1,0,0,0,0,1,0,0.0,-5.166181168829336,0.0,0.0,0.0,0.0,-9.609120817287506,0.0,GO:0072521,M01000010,2,0,GO Biological Processes,19,purine-containing compound metabolic process,19_GO:0008152 metabolic process,-9.788268358768788,2.1486319645608063,7.199743655826934,30286,492,2206,77,3.4904805077062555,0.3907733438373575,32|47|109|204|368|506|523|1738|2181|2182|2584|2820|2821|2984|3098|3099|3156|3157|3158|3303|3417|3418|3615|4191|4522|4597|4702|4725|4830|4837|4860|5091|5162|5167|5223|5230|6389|6576|6785|7040|7276|8050|8459|8694|8876|10165|10840|11001|11332|23098|23433|23475|25819|26027|27233|27284|28992|29922|51144|51292|53343|54539|55711|56952|57089|57103|79646|79877|80221|83594|84532|93100|131870|133686|201562|220963|349565,ACACB|ACLY|ADCY3|AK2|ABCC6|ATP5F1B|ATP6V1A|DLD|ACSL3|ACSL4|GALK1|GPD2|GPI|GUCY2C|HK1|HK2|HMGCR|HMGCS1|HMGCS2|HSPA1A|IDH1|IDH2|IMPDH2|MDH2|MTHFD1|MVD|NDUFA8|NDUFS5|NME1|NNMT|PNP|PC|PDHB|ENPP1|PGAM1|PGK1|SDHA|SLC25A1|ELOVL4|TGFB1|TTR|PDHX|TPST2|DGAT1|VNN1|SLC25A13|ALDH1L1|SLC27A2|ACOT7|SARM1|RHOQ|QPRT|NOCT|ACOT11|SULT1C4|SULT1B1|MACROD1|NME7|HSD17B12|GMPR2|NUDT9|NDUFB11|FAR2|PRTFDC1|ENTPD7|TIGAR|PANK3|DCAKD|ACSF2|NUDT12|ACSS1|NAPRT|NUDT16|NADK2|HACD2|SLC16A9|NMNAT3,-7.749188595203825,0,34.0,0.0,0.0,-13.564777859686629,4.249427967016362,
0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,-9.755276890860605,0.0,0.0,0.0,hsa04650,M00001000,1,0,KEGG Pathway,24,Natural killer cell mediated cytotoxicity,,-9.755276890860605,11.213203463203463,11.069442471137814,30286,132,266,13,4.887218045112782,1.321933114415392,637|3105|3106|3107|3135|3383|3455|3459|3460|4893|5293|5879|8795,BID|HLA-A|HLA-B|HLA-C|HLA-G|ICAM1|IFNAR2|IFNGR1|IFNGR2|NRAS|PIK3CD|RAC1|TNFRSF10B,-7.895529404989157,0,35.0,0.0,0.0,-13.557925634015941,56.92857142857144,
0,1,0,0,0,0,1,1,0.0,-5.857137649428326,0.0,0.0,0.0,0.0,-9.692858581786886,-2.2881024701056023,GO:0006753,M01000011,3,0,GO Biological Processes,19,nucleoside phosphate metabolic process,19_GO:0008152 metabolic process,-9.692858581786886,4.897081413210445,8.744343650911436,30286,532,279,24,8.602150537634408,1.6786857590825792,204|506|2181|2182|3098|3156|3157|3418|4191|4522|4597|4702|4860|5162|5230|7040|8050|8459|8694|10165|50484|51144|53343|54539,AK2|ATP5F1B|ACSL3|ACSL4|HK1|HMGCR|HMGCS1|IDH2|MDH2|MTHFD1|MVD|NDUFA8|PNP|PDHB|PGK1|TGFB1|PDHX|TPST2|DGAT1|SLC25A13|RRM2B|HSD17B12|NUDT9|NDUFB11,-7.834722580072017,0,77.0,0.0,0.0,-10.127181119086812,7.753712237583206,
0,1,0,0,0,0,1,1,0.0,-2.8568464175306545,0.0,0.0,0.0,0.0,-9.686272610060744,-2.3669252460834476,GO:0009259,M01000011,3,0,GO Biological Processes,19,ribonucleotide metabolic process,19_GO:0008152 metabolic process,-9.686272610060744,5.670625367784732,9.090197057494795,30286,402,279,21,7.526881720430108,1.5794765972250422,204|506|2181|2182|3098|3156|3157|4522|4597|4702|4860|5162|5230|7040|8050|8459|8694|10165|51144|53343|54539,AK2|ATP5F1B|ACSL3|ACSL4|HK1|HMGCR|HMGCS1|MTHFD1|MVD|NDUFA8|PNP|PDHB|PGK1|TGFB1|PDHX|TPST2|DGAT1|SLC25A13|HSD17B12|NUDT9|NDUFB11,-7.829742135061293,0,77.0,0.0,0.0,-10.127181119086812,7.753712237583206,
0,0,1,0,0,1,0,0,0.0,0.0,-3.395524390566394,0.0,0.0,-2.650845753983153,0.0,0.0,GO:0002009,M00100100,2,0,GO Biological Processes,19,morphogenesis of an epithelium,19_GO:0032502 developmental process,-9.678849858378092,2.188234152984912,7.181922165187815,30286,458,2206,73,3.3091568449682685,0.3808452958616868,90|94|374|538|596|760|960|1522|1605|1839|1906|1909|2131|2246|2297|2348|2648|2697|2909|2926|3280|3488|3678|3685|3911|4041|4088|4323|4522|4851|5087|5216|5371|5420|5727|5898|6385|6422|6495|6692|7040|7048|7291|7424|7855|8321|8642|8829|9955|10253|10395|23242|23552|23671|25928|25932|51176|54361|54910|55366|55625|55764|64399|80144|80326|84283|90410|90627|94134|115908|116844|144165|170690,ACVR1|ACVRL1|AREG|ATP7A|BCL2|CA2|CD44|CTSZ|DAG1|HBEGF|EDN1|EDNRA|EXT1|FGF1|FOXD1|FOLR1|KAT2A|GJA1|ARHGAP35|GRSF1|HES1|IGFBP5|ITGA5|ITGAV|LAMA5|LRP5|SMAD3|MMP14|MTHFD1|NOTCH1|PBX1|PFN1|PML|PODXL|PTCH1|RALA|SDC4|SFRP1|SIX1|SPINT1|TGFB1|TGFBR2|TWIST1|VEGFC|FZD5|FZD1|DCHS1|NRP1|HS3ST3A1|SPRY2|DLC1|COBL|CDK20|TMEFF2|SOSTDC1|CLIC4|LEF1|WNT4|SEMA4C|LGR4|ZDHHC7|IFT122|HHIP|FRAS1|WNT10A|TMEM79|IFT20|STARD13|ARHGAP12|CTHRC1|LRG1|PRICKLE1|ADAMTS16,-7.64942148048931,0,87.0,1.0,1.0,-9.678849858378092,3.7872885859880574,
0,0,0,0,1,1,0,0,0.0,0.0,0.0,0.0,-9.651564091796475,-3.290749530931283,0.0,0.0,GO:0051090,M00001100,2,0,GO Biological Processes,19,regulation of DNA-binding transcription factor activity,19_GO:0008152 metabolic process,-9.651564091796475,5.976752905886763,9.202078346525735,30286,381,266,20,7.518796992481203,1.6168141316236555,1540|1906|3656|4792|4794|5687|5970|6446|7128|7185|7186|7187|7292|8767|8837|9641|23586|80149|81603|148022,CYLD|EDN1|IRAK2|NFKBIA|NFKBIE|PSMA6|RELA|SGK1|TNFAIP3|TRAF1|TRAF2|TRAF3|TNFSF4|RIPK2|CFLAR|IKBKE|RIGI|ZC3H12A|TRIM8|TICAM1,-7.796633229956817,0,8.0,0.0,0.0,-19.91299410797836,65.06122448979592,
0,0,0,0,1,1,0,0,0.0,0.0,0.0,0.0,-7.680057668978367,-3.424482311844321,0.0,0.0,GO:0031401,M00001100,2,0,GO Biological Processes,19,positive regulation of protein modification process,19_GO:0048518 positive regulation of biological process,-9.641403013399158,1.886828164976053,6.9587504144204875,30286,764,2206,105,4.759746146872167,0.45331429404565116,90|183|283|329|374|493|596|960|1815|1839|1906|1942|1946|2064|2069|2147|2185|2246|2261|3280|3306|3309|3572|3624|3654|3678|3717|4683|4692|4837|5007|5071|5329|5371|5525|5562|5563|5725|5743|5879|5906|5912|7016|7040|7048|7098|7124|7157|7186|7424|7804|8321|8503|8767|8792|8795|8829|9094|9111|9125|9244|9294|9618|9770|10010|10044|10111|10125|10211|10253|10267|10318|10395|10457|11261|22924|23118|23531|26281|26354|27338|28996|30844|50507|51561|51719|55208|57214|64127|79705|79866|80149|80310|83593|84221|85456|92597|94056|121665|133396|144165|146433|148022|338773|553115,ACVR1|AGT|ANG|BIRC2|AREG|ATP2B4|BCL2|CD44|DRD4|HBEGF|EDN1|EFNA1|EFNA5|ERBB2|EREG|F2|PTK2B|FGF1|FGFR3|HES1|HSPA2|HSPA5|IL6ST|INHBA|IRAK1|ITGA5|JAK2|NBN|NDN|NNMT|OSBP|PRKN|PLAUR|PML|PPP2R5A|PRKAA1|PRKAA2|PTBP1|PTGS2|RAC1|RAP1A|RAP2B|TESK1|TGFB1|TGFBR2|TLR3|TNF|TP53|TRAF2|VEGFC|LRP8|FZD1|PIK3R3|RIPK2|TNFRSF11A|TNFRSF10B|NRP1|UNC119|NMI|CNOT9|CRLF1|S1PR2|TRAF4|RASSF2|TANK|SH2D3C|RAD50|RASGRP1|FLOT1|SPRY2|RAMP1|TNIP1|DLC1|GPNMB|CHP1|MAPRE3|TAB2|MMD|FGF20|GNL3|UBE2S|HIPK2|EHD4|NOX4|IL23A|CAB39|DCUN1D2|CEMIP|NOD2|LRRK1|BORA|ZC3H12A|PDGFD|RASSF5|SPATC1L|TNKS1BP1|MOB1B|SYAP1|SPPL3|IL31RA|PRICKLE1|IL34|TICAM1|TMEM119|PEF1,-7.616721070534838,0,68.0,0.0,0.0,-10.42530763581035,2.42767507684143,
