GO,Description,_LogP_down_common_genes,_LogP_down_epi_only,_LogP_down_mes_only,_LogP_down_mes_up_epi,_LogP_up_common_genes,_LogP_up_epi_only,_LogP_up_mes_down_epi,_LogP_up_mes_only
GO:0010817,regulation of hormone levels,0.0,-6.213576121920707,0.0,0.0,0.0,0.0,-4.894543662841919,0.0
GO:1901615,organic hydroxy compound metabolic process,0.0,-9.703376798944225,0.0,0.0,0.0,0.0,-10.708293530822907,0.0
GO:0042157,lipoprotein metabolic process,0.0,-4.5386238584765035,0.0,0.0,0.0,0.0,-5.070667967519889,-2.947313635083529
R-HSA-8957275,Post-translational protein phosphorylation,0.0,-6.822403456558874,0.0,0.0,-2.570249061535347,0.0,-3.5398534489202786,0.0
R-HSA-5653656,Vesicle-mediated transport,-2.080569394340136,-2.91279236667501,0.0,-2.33894983066814,0.0,-2.967077660693479,-3.7583168572573062,0.0
GO:0009725,response to hormone,-8.276664717211156,0.0,0.0,0.0,0.0,0.0,-2.2082707308007143,0.0
GO:0070482,response to oxygen levels,-2.7379743502093588,0.0,-2.0417354681599846,0.0,-2.463699412495215,0.0,-8.308918848554356,0.0
GO:0019725,cellular homeostasis,-2.0330232178754977,-2.8395702322951317,-2.311717855910847,0.0,-2.10862838097314,0.0,-6.506839677825622,0.0
R-HSA-382551,Transport of small molecules,-2.586644458975537,-4.931775174813379,0.0,0.0,-9.998326918261089,0.0,-6.574889883104263,0.0
GO:0051336,regulation of hydrolase activity,-2.539471691092485,-5.314230402310208,-2.715458790314936,0.0,-4.944586977545344,0.0,-2.0076325407715103,-3.0587929567647163
GO:0048871,multicellular organismal-level homeostasis,0.0,-5.923882239075127,-3.2650895623547997,0.0,-2.128059949663865,0.0,0.0,0.0
WP5390,Pancreatic cancer subtypes,0.0,-16.63142456485729,0.0,0.0,0.0,0.0,0.0,0.0
WP4718,Cholesterol metabolism with Bloch and Kandutsch Russell pathways,0.0,0.0,0.0,0.0,0.0,0.0,-12.865988560525508,0.0
GO:0006984,ER-nucleus signaling pathway,0.0,0.0,0.0,0.0,0.0,0.0,-11.285597065395965,0.0
WP4786,Type I collagen synthesis in the context of osteogenesis imperfecta,0.0,0.0,0.0,0.0,0.0,0.0,-9.636237326721359,0.0
GO:0046903,secretion,0.0,0.0,0.0,0.0,0.0,-2.4401539171338977,-4.994706249907878,-2.297233809310828
GO:0071496,cellular response to external stimulus,0.0,0.0,0.0,0.0,-5.872772798309009,0.0,-3.3726617548937305,0.0
M5908,HALLMARK ANDROGEN RESPONSE,0.0,0.0,0.0,0.0,-3.586008317430395,0.0,-5.716587934145905,0.0
M5924,HALLMARK MTORC1 SIGNALING,0.0,0.0,0.0,0.0,-4.128759092828482,0.0,-22.75919296535834,0.0
hsa04141,Protein processing in endoplasmic reticulum,0.0,0.0,0.0,0.0,-5.544302816255345,0.0,-17.983637042083465,-4.409669990310117
GO:0034976,response to endoplasmic reticulum stress,0.0,0.0,0.0,0.0,-5.2086369097900835,0.0,-16.484566239153324,-4.8845844778201535
M5913,HALLMARK INTERFERON GAMMA RESPONSE,0.0,0.0,0.0,0.0,-10.495330538145696,0.0,-6.9042467004631165,-26.329367053363075
GO:0051604,protein maturation,0.0,0.0,-2.7453756671953413,0.0,-4.473982081900398,0.0,-17.693128288615902,-3.541843723830686
GO:0030163,protein catabolic process,0.0,0.0,0.0,-2.5846236855466223,-15.755711856667338,0.0,-4.512071027916917,-5.2720853559420915
M5921,HALLMARK COMPLEMENT,0.0,-2.9324226235651243,0.0,0.0,-4.128759092828482,-3.67209164819938,-6.001648396720494,-3.867452653513488
GO:0070201,regulation of establishment of protein localization,0.0,-4.1206993319552,0.0,0.0,-2.519507776844172,-3.3920308593143975,-6.182243548686181,-2.2469400216569895
R-HSA-6798695,Neutrophil degranulation,-2.7488593324301243,-3.277312035639653,0.0,0.0,-5.846988896335847,-2.2695862860488094,-6.195139872671149,-4.772763804878759
R-HSA-109582,Hemostasis,0.0,-4.679226000138958,0.0,0.0,-3.8569378464379347,-4.93413832050586,-3.622349824241954,0.0
WP3888,VEGFA VEGFR2 signaling,-2.5766747874520837,0.0,0.0,0.0,-5.121602274191153,-4.318255735761006,-4.76658774994413,-2.5168082126876596
