_MEMBER_modules_epi_black_sorted_top300,_MEMBER_modules_epi_blue_sorted_top300,_MEMBER_modules_epi_pink_sorted_top300,_MEMBER_modules_epi_red_sorted_top300,_MEMBER_modules_epi_turquoise_sorted_top300,_MEMBER_modules_epi_yellow_sorted_top300,_LogP_modules_epi_black_sorted_top300,_LogP_modules_epi_blue_sorted_top300,_LogP_modules_epi_pink_sorted_top300,_LogP_modules_epi_red_sorted_top300,_LogP_modules_epi_turquoise_sorted_top300,_LogP_modules_epi_yellow_sorted_top300,GO,Description,_PATTERN_,_RANK_,CHILD_GO_modules_epi_black_sorted_top300,CHILD_GO_modules_epi_blue_sorted_top300,CHILD_GO_modules_epi_pink_sorted_top300,CHILD_GO_modules_epi_red_sorted_top300,CHILD_GO_modules_epi_turquoise_sorted_top300,CHILD_GO_modules_epi_yellow_sorted_top300
1,1,1,1,1,1,-5.085077657246839,-3.596853671496203,-6.854453578343411,-4.959031115031048,-5.39029988661411,-7.600856891914687,GO:0048519,negative regulation of biological process,M111111,6,GO:0043409 negative regulation of MAPK cascade,GO:0051918 negative regulation of fibrinolysis,GO:0032102 negative regulation of response to external stimulus,GO:0050866 negative regulation of cell activation,GO:0051129 negative regulation of cellular component organization,GO:0008285 negative regulation of cell population proliferation
1,1,1,1,1,1,-5.029260868470777,-10.430160564683383,-4.5149278442082466,-7.476918276304635,-7.5641326794492745,-8.243066510492998,GO:0051179,localization,M111111,6,GO:0098657 import into cell,GO:0015850 organic hydroxy compound transport,GO:0010876 lipid localization,GO:1905475 regulation of protein localization to membrane,GO:0051640 organelle localization,GO:0051640 organelle localization
1,1,1,1,1,1,-4.9854362040014495,-6.929727444024868,-8.784921593099735,-8.366931641282138,-15.183379610750379,-12.824016882531026,GO:0050789,regulation of biological process,M111111,6,GO:0022407 regulation of cell-cell adhesion,GO:0097006 regulation of plasma lipoprotein particle levels,GO:1903037 regulation of leukocyte cell-cell adhesion,GO:0031344 regulation of cell projection organization,GO:0120035 regulation of plasma membrane bounded cell projection organization,GO:0032970 regulation of actin filament-based process
1,1,1,1,1,1,-3.682588336586263,-6.293475999787246,-3.701031524813962,-6.973318749060748,-8.207429344817617,-6.1257328648152924,GO:0065007,biological regulation,M111111,6,GO:0051336 regulation of hydrolase activity,GO:0010817 regulation of hormone levels,GO:0051336 regulation of hydrolase activity,GO:0050878 regulation of body fluid levels,GO:0008361 regulation of cell size,GO:0044092 negative regulation of molecular function
1,1,1,0,0,0,-3.181089865296495,-2.2785392464532728,-2.2785392464532728,0.0,0.0,0.0,GO:0048511,rhythmic process,M111000,3,GO:0032922 circadian regulation of gene expression,GO:0048511 rhythmic process,GO:0048511 rhythmic process,,,
1,0,0,0,0,0,-3.066323764027152,0.0,0.0,0.0,0.0,0.0,GO:0043473,pigmentation,M100000,1,GO:0048066 developmental pigmentation,,,,,
1,0,1,1,0,1,-2.800332040114567,0.0,-13.119580268171086,-2.675344215677683,0.0,-5.745030431713774,GO:0016032,viral process,M101101,4,GO:0045069 regulation of viral genome replication,,GO:1903900 regulation of viral life cycle,GO:0044827 modulation by host of viral genome replication,,GO:0019058 viral life cycle
1,0,1,1,1,1,-2.4437315088553517,0.0,-4.324024739098839,-3.3208013193675834,-7.915564916707561,-4.101806786673496,GO:0040007,growth,M101111,5,GO:0040008 regulation of growth,,GO:0040008 regulation of growth,GO:0040008 regulation of growth,GO:0061387 regulation of extent of cell growth,GO:0001558 regulation of cell growth
0,1,0,1,0,0,0.0,-3.96909181894931,0.0,-2.618472830082768,0.0,0.0,GO:0098754,detoxification,M010100,2,,GO:1990748 cellular detoxification,,GO:0098754 detoxification,,
0,1,1,1,1,1,0.0,-2.0289964319760805,-3.4015661233228465,-3.3973306157899144,-3.2292062175067966,-2.171743640117852,GO:0022414,reproductive process,M011111,5,,GO:0048608 reproductive structure development,GO:0007567 parturition,GO:0060046 regulation of acrosome reaction,GO:0051447 negative regulation of meiotic cell cycle,GO:0046661 male sex differentiation
