_MEMBER_down_common_genes,_MEMBER_down_epi_only,_MEMBER_down_mes_only,_MEMBER_down_mes_up_epi,_MEMBER_up_common_genes,_MEMBER_up_epi_only,_MEMBER_up_mes_down_epi,_MEMBER_up_mes_only,_LogP_down_common_genes,_LogP_down_epi_only,_LogP_down_mes_only,_LogP_down_mes_up_epi,_LogP_up_common_genes,_LogP_up_epi_only,_LogP_up_mes_down_epi,_LogP_up_mes_only,GO,Description,_PATTERN_,_RANK_,CHILD_GO_down_common_genes,CHILD_GO_down_epi_only,CHILD_GO_down_mes_only,CHILD_GO_down_mes_up_epi,CHILD_GO_up_common_genes,CHILD_GO_up_epi_only,CHILD_GO_up_mes_down_epi,CHILD_GO_up_mes_only
1,1,1,1,1,1,0,0,-2.582058613040208,-3.9038715160737287,-6.017932144342632,-8.411313635821825,-8.845902071981765,-9.069466471799103,0.0,0.0,GO:0048518,positive regulation of biological process,M11111100,6,GO:0033674 positive regulation of kinase activity,GO:0045834 positive regulation of lipid metabolic process,GO:0043065 positive regulation of apoptotic process,GO:0032103 positive regulation of response to external stimulus,GO:0045785 positive regulation of cell adhesion,GO:0043123 positive regulation of canonical NF-kappaB signal transduction,,
1,1,1,1,1,1,1,1,-2.375105416310113,-4.340255413688319,-5.0770498680444875,-8.031847354523421,-12.967262255225178,-7.576871870679886,-2.664369429831685,-5.520156919139239,GO:0032501,multicellular organismal process,M11111111,8,GO:0007626 locomotory behavior,GO:0022600 digestive system process,GO:0046849 bone remodeling,GO:0001775 cell activation,GO:0001503 ossification,GO:0001775 cell activation,GO:0001503 ossification,GO:0001503 ossification
1,0,1,1,1,1,0,0,-2.17087113851711,0.0,-3.503652862707025,-6.730551194724586,-2.2407566756259847,-7.747806205200871,0.0,0.0,GO:0044419,biological process involved in interspecies interaction between organisms,M10111100,5,GO:0140374 antiviral innate immune response,,GO:0002230 positive regulation of defense response to virus by host,GO:0009615 response to virus,GO:0039532 negative regulation of cytoplasmic pattern recognition receptor signaling pathway,GO:0009617 response to bacterium,,
0,1,0,0,0,0,0,0,0.0,-3.85282200713584,0.0,0.0,0.0,0.0,0.0,0.0,GO:0098754,detoxification,M01000000,1,,GO:0110095 cellular detoxification of aldehyde,,,,,,
0,1,1,1,1,1,1,1,0.0,-3.629784937545884,-2.547073765546393,-4.108610792428351,-4.120518205061738,-2.9656886842723025,-3.8170283971275296,-2.729815995952394,GO:0042592,homeostatic process,M01111111,7,,GO:0042632 cholesterol homeostasis,GO:0045453 bone resorption,GO:0048872 homeostasis of number of cells,GO:0048871 multicellular organismal-level homeostasis,GO:0043129 surfactant homeostasis,GO:0055089 fatty acid homeostasis,GO:0019725 cellular homeostasis
0,1,1,0,1,1,0,0,0.0,-3.56745135977905,-5.350819255806637,0.0,-5.226233329825959,-3.6780771354834285,0.0,0.0,GO:0040007,growth,M01101100,4,,GO:0060736 prostate gland growth,GO:0048638 regulation of developmental growth,,GO:0040007 growth,GO:0001558 regulation of cell growth,,
0,1,1,0,1,0,0,0,0.0,-2.6008680732579,-2.5297487019764735,0.0,-2.693558086944859,0.0,0.0,0.0,GO:0048511,rhythmic process,M01101000,3,,GO:0022602 ovulation cycle process,GO:0048511 rhythmic process,,GO:0042698 ovulation cycle,,,
0,1,1,1,0,0,0,0,0.0,-2.133611781411019,-2.194325740306785,-2.312137773314447,0.0,0.0,0.0,0.0,GO:0043473,pigmentation,M01110000,3,,GO:0050931 pigment cell differentiation,GO:0043473 pigmentation,GO:0043473 pigmentation,,,,
0,1,1,1,1,1,0,0,0.0,-2.024806342975859,-3.478164411654702,-7.914785835025438,-5.754919047783632,-6.930468824716539,0.0,0.0,GO:0002376,immune system process,M01111100,5,,GO:0050777 negative regulation of immune response,GO:0002253 activation of immune response,GO:0045321 leukocyte activation,GO:1902105 regulation of leukocyte differentiation,GO:0045321 leukocyte activation,,
0,0,1,1,0,1,0,0,0.0,0.0,-2.502143617630656,-2.633007393057401,0.0,-3.441161015516421,0.0,0.0,GO:0016032,viral process,M00110100,3,,,GO:0045071 negative regulation of viral genome replication,GO:1903900 regulation of viral life cycle,,GO:0019058 viral life cycle,,
