_MEMBER_down_common_genes,_MEMBER_down_epi_only,_MEMBER_down_mes_only,_MEMBER_down_mes_up_epi,_MEMBER_up_common_genes,_MEMBER_up_epi_only,_MEMBER_up_mes_down_epi,_MEMBER_up_mes_only,_LogP_down_common_genes,_LogP_down_epi_only,_LogP_down_mes_only,_LogP_down_mes_up_epi,_LogP_up_common_genes,_LogP_up_epi_only,_LogP_up_mes_down_epi,_LogP_up_mes_only,GO,Description,_PATTERN_,_RANK_,GiniIndex
0,0,0,0,0,1,0,0,0,0,0,0,0,-2.5,0,0,GO:1902993,positive regulation of amyloid precursor protein catabolic process,M00000100,1,0
0,0,0,0,1,0,0,0,0,0,0,0,-2.3,0,0,0,GO:0008347,glial cell migration,M00001000,1,0
0,0,0,0,0,1,0,0,0,0,0,0,0,-2.2,0,0,R-HSA-380108,Chemokine receptors bind chemokines,M00000100,1,0
0,0,0,0,1,0,0,0,0,0,0,0,-2.3,0,0,0,hsa04211,Longevity regulating pathway,M00001000,1,0
0,0,0,0,1,0,0,0,0,0,0,0,-3.1,0,0,0,hsa05206,MicroRNAs in cancer,M00001000,1,0
0,1,0,0,0,0,0,0,0,-4.3,0,0,0,0,0,0,hsa00980,Metabolism of xenobiotics by cytochrome P450,M01000000,1,0
0,0,0,1,0,0,0,0,0,0,0,-2.4,0,0,0,0,GO:0050851,antigen receptor-mediated signaling pathway,M00010000,1,0
0,0,0,0,0,1,0,0,0,0,0,0,0,-2.3,0,0,GO:0002675,positive regulation of acute inflammatory response,M00000100,1,0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,-2.1,0,GO:0042255,ribosome assembly,M00000010,1,0
0,0,0,0,0,1,0,0,0,0,0,0,0,-3.8,0,0,GO:0042531,positive regulation of tyrosine phosphorylation of STAT protein,M00000100,1,0
0,0,0,0,0,1,0,0,0,0,0,0,0,-3,0,0,GO:0002821,positive regulation of adaptive immune response,M00000100,1,0
0,1,0,0,0,0,0,0,0,-2.3,0,0,0,0,0,0,GO:0016051,carbohydrate biosynthetic process,M01000000,1,0
0,0,0,0,1,0,0,0,0,0,0,0,-5.4,0,0,0,GO:0090257,regulation of muscle system process,M00001000,1,0
0,0,0,0,1,0,0,0,0,0,0,0,-4.1,0,0,0,GO:0033687,osteoblast proliferation,M00001000,1,0
0,0,0,0,0,1,0,0,0,0,0,0,0,-3.2,0,0,R-HSA-5357956,TNFR1-induced NF-kappa-B signaling pathway,M00000100,1,0
0,0,0,0,1,0,0,0,0,0,0,0,-2.5,0,0,0,R-HSA-9659379,Sensory processing of sound,M00001000,1,0
0,0,0,0,1,0,0,0,0,0,0,0,-2.6,0,0,0,GO:0051301,cell division,M00001000,1,0
1,0,0,0,0,0,0,0,-2.5,0,0,0,0,0,0,0,WP4803,Ciliopathies,M10000000,1,0
0,0,0,0,1,0,0,0,0,0,0,0,-3.7,0,0,0,M9367,BIOCARTA ERYTH PATHWAY,M00001000,1,0
0,0,0,0,0,1,0,0,0,0,0,0,0,-7.3,0,0,GO:0034612,response to tumor necrosis factor,M00000100,1,0
0,1,0,0,0,0,0,0,0,-2.3,0,0,0,0,0,0,GO:0008585,female gonad development,M01000000,1,0
0,0,1,0,0,0,0,0,0,0,-3.5,0,0,0,0,0,GO:1902001,fatty acid transmembrane transport,M00100000,1,0
0,0,0,0,0,1,0,0,0,0,0,0,0,-2.3,0,0,GO:0007405,neuroblast proliferation,M00000100,1,0
0,0,0,0,0,1,0,0,0,0,0,0,0,-3.3,0,0,GO:0070661,leukocyte proliferation,M00000100,1,0
