_MEMBER_down_common_genes,_MEMBER_down_epi_only,_MEMBER_down_mes_only,_MEMBER_down_mes_up_epi,_MEMBER_up_common_genes,_MEMBER_up_epi_only,_MEMBER_up_mes_down_epi,_MEMBER_up_mes_only,_LogP_down_common_genes,_LogP_down_epi_only,_LogP_down_mes_only,_LogP_down_mes_up_epi,_LogP_up_common_genes,_LogP_up_epi_only,_LogP_up_mes_down_epi,_LogP_up_mes_only,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff
1,0,1,1,1,0,0,1,-3.9,0,-6.6,-3.8,-14,0,0,-3.9,M41708,M10111001,5,0,Cell Type Signatures,7,FAN OVARY CL6 PUTATIVE EARLY ATRETIC FOLLICLE THECAL CELL 2,,-14,9.1,12,30293,300,234,21,9,1.9,388|633|1277|1465|2335|2354|3491|3726|4616|6876|7041|7071|7168|7171|8870|10398|23022|27295|54587|91663|140606,RHOB|BGN|COL1A1|CSRP1|FN1|FOSB|CCN1|JUNB|GADD45B|TAGLN|TGFB1I1|KLF10|TPM1|TPM4|IER3|MYL9|PALLD|PDLIM3|MXRA8|MYADM|SELENOM,-11,0
0,0,0,1,0,1,0,0,0,0,0,-2.3,0,-13,0,0,M39160,M00010100,2,0,Cell Type Signatures,7,GAO LARGE INTESTINE 24W C11 PANETH LIKE CELL,,-13,6.5,11,30293,325,370,26,7,1.3,330|1436|2920|2921|3459|3552|3684|3936|4318|4814|5724|7107|7124|7185|7852|8676|23313|27128|29887|29933|51561|57162|79651|84888|259307|440836,BIRC3|CSF1R|CXCL2|CXCL3|IFNGR1|IL1A|ITGAM|LCP1|MMP9|NINJ1|PTAFR|GPR137B|TNF|TRAF1|CXCR4|STX11|KIAA0930|CYTH4|SNX10|GPR132|IL23A|PELI1|RHBDF2|SPPL2A|IL4I1|CIMAP1B,-10,0
0,0,1,1,1,1,0,1,0,0,-13,-7.6,-10,-7,0,-4,M39209,M00111101,5,0,Cell Type Signatures,7,HAY BONE MARROW STROMAL,,-13,4.4,10,30293,765,333,37,11,1.7,133|249|862|975|1909|2273|3481|3489|3910|5010|5157|5217|5730|5745|5764|6495|6542|7291|10351|10579|22871|23543|23580|25890|27147|29953|51454|55068|57664|79822|79901|81578|116535|147372|219348|219654|399474,ADM|ALPL|RUNX1T1|CD81|EDNRA|FHL1|IGF2|IGFBP6|LAMA4|CLDN11|PDGFRL|PFN2|PTGDS|PTH1R|PTN|SIX1|SLC7A2|TWIST1|ABCA8|TACC2|NLGN1|RBFOX2|CDC42EP4|ABI3BP|DENND2A|TRHDE|GULP1|ENOX1|PLEKHA4|ARHGAP28|CYBRD1|COL21A1|MRGPRF|CCBE1|PLAC9|ZCCHC24|TMEM200B,-10,0
0,0,1,1,1,0,0,0,0,0,-4.2,-2.1,-13,0,0,0,M39122,M00111000,3,0,Cell Type Signatures,7,AIZARANI LIVER C21 STELLATE CELLS 1,,-13,11,13,30293,194,234,17,7.3,1.7,87|633|1277|1465|1490|2354|3315|3491|3726|5054|6237|7057|7171|8870|10398|23022|91663,ACTN1|BGN|COL1A1|CSRP1|CCN2|FOSB|HSPB1|CCN1|JUNB|SERPINE1|RRAS|THBS1|TPM4|IER3|MYL9|PALLD|MYADM,-9.7,0
0,0,1,1,1,1,0,1,0,0,-3.6,-3.1,-12,-5.2,0,-4.2,M41719,M00111101,5,0,Cell Type Signatures,7,FAN OVARY CL17 PUTATIVE APOPTOTIC SMOOTH MUSCLE CELL,,-12,10,12,30293,231,234,18,7.7,1.7,87|633|1264|1465|3315|4478|4616|6876|7168|8560|8870|10049|10398|25932|51177|51330|84790|140606,ACTN1|BGN|CNN1|CSRP1|HSPB1|MSN|GADD45B|TAGLN|TPM1|DEGS1|IER3|DNAJB6|MYL9|CLIC4|PLEKHO1|TNFRSF12A|TUBA1C|SELENOM,-9.6,0
0,0,0,1,1,0,0,0,0,0,0,-2.5,-12,0,0,0,M39279,M00011000,2,0,Cell Type Signatures,7,DURANTE ADULT OLFACTORY NEUROEPITHELIUM VASCULAR SMOOTH MUSCLE CELLS,,-12,18,15,30293,93,234,13,5.6,1.5,388|1264|1465|3726|4162|4616|6876|7041|7057|7168|10398|23022|27295,RHOB|CNN1|CSRP1|JUNB|MCAM|GADD45B|TAGLN|TGFB1I1|THBS1|TPM1|MYL9|PALLD|PDLIM3,-9.5,0
0,0,1,1,1,1,0,1,0,0,-12,-4,-9.3,-2.8,0,-3.5,M39167,M00111101,5,0,Cell Type Signatures,7,GAO LARGE INTESTINE ADULT CJ IMMUNE CELLS,,-12,5.2,10,30293,505,333,29,8.7,1.5,1909|2273|2869|3489|3910|5745|5764|5802|6542|9411|10351|11096|25890|25927|25992|51309|51454|51477|57664|79649|79901|79974|80310|80332|81035|114757|145389|219348|219654,EDNRA|FHL1|GRK5|IGFBP6|LAMA4|PTH1R|PTN|PTPRS|SLC7A2|ARHGAP29|ABCA8|ADAMTS5|ABI3BP|CNRIP1|SNED1|ARMCX1|GULP1|ISYNA1|PLEKHA4|MAP7D3|CYBRD1|CPED1|PDGFD|ADAM33|COLEC12|CYGB|SLC38A6|PLAC9|ZCCHC24,-9.4,0
0,0,0,1,1,1,0,0,0,0,0,-2.4,-12,-7.9,0,0,M39128,M00011100,3,0,Cell Type Signatures,7,AIZARANI LIVER C29 MVECS 2,,-12,8.3,11,30293,313,234,20,8.5,1.8,87|633|659|1397|1465|1490|1906|2354|2778|3315|3491|5054|7171|7798|8407|11346|25937|57514|80790|91663,ACTN1|BGN|BMPR2|CRIP2|CSRP1|CCN2|EDN1|FOSB|GNAS|HSPB1|CCN1|SERPINE1|TPM4|LUZP1|TAGLN2|SYNPO|WWTR1|ARHGAP31|CMIP|MYADM,-9.3,0
0,0,0,0,1,1,1,1,0,0,0,0,-12,-3.4,-3.7,-5,M41717,M00001111,4,0,Cell Type Signatures,7,FAN OVARY CL15 SMALL ANTRAL FOLLICLE GRANULOSA CELL,,-12,5.4,10,30293,645,234,27,12,2.1,60|71|378|388|481|861|1000|1266|1490|1499|3491|3685|3839|4616|5216|5270|6498|7057|7071|7286|7319|10049|10092|10848|22919|64778|81688,ACTB|ACTG1|ARF4|RHOB|ATP1B1|RUNX1|CDH2|CNN3|CCN2|CTNNB1|CCN1|ITGAV|KPNA3|GADD45B|PFN1|SERPINE2|SKIL|THBS1|KLF10|TUFT1|UBE2A|DNAJB6|ARPC5|PPP1R13L|MAPRE1|FNDC3B|C6orf62,-9.1,0
0,1,0,0,0,0,0,0,0,-12,0,0,0,0,0,0,M40011,M01000000,1,0,Cell Type Signatures,7,BUSSLINGER GASTRIC METALLOTHIONEIN CELLS,,-12,12,13,30293,100,367,15,4.1,1,13|126|216|218|760|3248|6819|7032|7103|10551|11199|57016|114569|284422|340547,AADAC|ADH1C|ALDH1A1|ALDH3A1|CA2|HPGD|SULT1C2|TFF2|TSPAN8|AGR2|ANXA10|AKR1B10|MAL2|SMIM24|VSIG1,-9,0
0,0,0,0,1,1,0,0,0,0,0,0,-12,-3,0,0,M41672,M00001100,2,0,Cell Type Signatures,7,TRAVAGLINI LUNG VASCULAR SMOOTH MUSCLE CELL,,-12,23,15,30293,61,234,11,4.7,1.4,87|633|1264|1266|4162|4627|6876|7168|7171|9260|10398,ACTN1|BGN|CNN1|CNN3|MCAM|MYH9|TAGLN|TPM1|TPM4|PDLIM7|MYL9,-9,0
0,0,1,1,1,0,0,1,0,0,-3.5,-3.6,-12,0,0,-2,M39321,M00111001,4,0,Cell Type Signatures,7,CUI DEVELOPING HEART VASCULAR ENDOTHELIAL CELL,,-12,11,12,30293,193,234,16,6.8,1.6,388|633|1277|2354|3726|4053|4616|4627|5054|5270|6498|8553|9902|55679|140606|389792,RHOB|BGN|COL1A1|FOSB|JUNB|LTBP2|GADD45B|MYH9|SERPINE1|SERPINE2|SKIL|BHLHE40|MRC2|LIMS2|SELENOM|IER5L,-8.8,0
