_MEMBER_down_common_genes,_MEMBER_down_epi_only,_MEMBER_down_mes_only,_MEMBER_down_mes_up_epi,_MEMBER_up_common_genes,_MEMBER_up_epi_only,_MEMBER_up_mes_down_epi,_MEMBER_up_mes_only,_LogP_down_common_genes,_LogP_down_epi_only,_LogP_down_mes_only,_LogP_down_mes_up_epi,_LogP_up_common_genes,_LogP_up_epi_only,_LogP_up_mes_down_epi,_LogP_up_mes_only,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff,GROUP_ID,FirstInGroupByEnrichment,FirstInGroupByLogP,BestLogPInGroup,BestEnrichmentInGroup,URL
0,0,0,1,0,0,0,0,0.0,0.0,0.0,-4.129878675597372,0.0,0.0,0.0,0.0,WP2332,M00010000,1,0,WikiPathways,27,Interleukin 11 signaling pathway,,-4.129878675597372,11.433856840833586,6.93922496979464,30286,44,301,5,1.6611295681063123,0.7366837909639954,3383|3551|3572|6774|9021,ICAM1|IKBKB|IL6ST|STAT3|SOCS3,-2.864864577422683,0,234.0,0.0,0.0,-5.413480947735621,75.46345514950166,
1,0,0,1,0,0,0,0,-2.1369592652177705,0.0,0.0,-2.793565766247624,0.0,0.0,0.0,0.0,GO:0035050,M10010000,2,0,GO Biological Processes,19,embryonic heart tube development,19_GO:0032502 developmental process,-4.128735587301865,2.8491063029162746,4.690722854936017,30286,85,2126,17,0.7996237064910631,0.19316029512543795,1499|1856|1889|1906|2296|4088|5308|5663|6608|7048|8463|9645|10370|23059|26005|51684|65009,CTNNB1|DVL2|ECE1|EDN1|FOXC1|SMAD3|PITX2|PSEN1|SMO|TGFBR2|TEAD2|MICAL2|CITED2|CLUAP1|C2CD3|SUFU|NDRG4,-2.787648787206609,0,350.0,1.0,1.0,-4.128735587301865,2.8491063029162746,
0,0,1,1,0,0,0,0,0.0,0.0,-3.5842178149799597,-2.793565766247624,0.0,0.0,0.0,0.0,WP2571,M00110000,2,0,WikiPathways,27,Polycystic kidney disease pathway,,-4.128735587301865,2.8491063029162746,4.690722854936017,30286,85,2126,17,0.7996237064910631,0.19316029512543795,595|1499|1856|2767|2770|3480|3551|3725|5136|5310|5563|5595|6752|7248|7249|7482|8321,CCND1|CTNNB1|DVL2|GNA11|GNAI1|IGF1R|IKBKB|JUN|PDE1A|PKD1|PRKAA2|MAPK3|SSTR2|TSC1|TSC2|WNT2B|FZD1,-2.787648787206609,0,351.0,1.0,1.0,-4.128735587301865,2.8491063029162746,
0,0,0,1,0,0,0,0,0.0,0.0,0.0,-2.308656622874578,0.0,0.0,0.0,0.0,GO:0046718,M00010000,1,0,GO Biological Processes,19,symbiont entry into host cell,19_GO:0016032 viral process,-4.126721242081348,2.5900966390147953,4.590585922295359,30286,110,2126,20,0.940733772342427,0.20936269061140206,949|1508|1514|1948|1949|1956|3383|3685|3688|3839|5359|5819|6510|6575|6993|7301|9076|9972|83737|440400,SCARB1|CTSB|CTSL|EFNB2|EFNB3|EGFR|ICAM1|ITGAV|ITGB1|KPNA3|PLSCR1|NECTIN2|SLC1A5|SLC20A2|DYNLT1|TYRO3|CLDN1|NUP153|ITCH|RNASEK,-2.7861232371777045,0,206.0,0.0,0.0,-5.868193732357253,2.5900966390147953,
1,1,0,0,0,0,0,0,-2.540058342640948,-4.108990740821435,0.0,0.0,0.0,0.0,0.0,0.0,GO:0034248,M11000000,2,0,GO Biological Processes,19,regulation of amide metabolic process,19_GO:0008152 metabolic process,-4.108990740821435,3.0840747953819325,4.812247051517541,30286,522,301,16,5.3156146179401995,1.2931016859440059,708|4528|4904|5036|8893|9221|10102|10247|26610|51654|55364|56848|60558|84300|84305|115572,C1QBP|MTIF2|YBX1|PA2G4|EIF2B5|NOLC1|TSFM|RIDA|ELP4|CDK5RAP1|IMPACT|SPHK2|GUF1|UQCC2|PYM1|TENT5B,-2.845615491693028,0,265.0,0.0,0.0,-4.962482502315603,18.865863787375414,
0,0,0,1,0,0,0,0,0.0,0.0,0.0,-4.107324584425988,0.0,0.0,0.0,0.0,M8066,M00010000,1,0,BioCarta Gene Sets,15,BIOCARTA IL22BP PATHWAY,,-4.107324584425988,33.539313399778514,9.781787620762213,30286,9,301,3,0.9966777408637874,0.5725573788282263,6774|6776|9021,STAT3|STAT5A|SOCS3,-2.844358083075428,0,234.0,0.0,0.0,-5.413480947735621,75.46345514950166,
1,0,0,0,0,0,0,0,-3.6221383663946134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,R-HSA-192105,M10000000,1,0,Reactome Gene Sets,6,Synthesis of bile acids and bile salts,,-4.107181343617445,4.189862210170992,5.113443128678805,30286,34,2126,10,0.4703668861712135,0.14839283822116073,1593|3295|5007|6256|6342|8309|10499|80270|114876|114883,CYP27A1|HSD17B4|OSBP|RXRA|SCP2|ACOX2|NCOA2|HSD3B7|OSBPL1A|OSBPL9,-2.7685330366321352,0,37.0,0.0,0.0,-13.418027082746018,83.5091911764706,
0,0,0,0,1,1,0,0,0.0,0.0,0.0,0.0,-3.3602247566579995,-3.1991489804883275,0.0,0.0,R-HSA-373760,M00001100,2,0,Reactome Gene Sets,6,L1CAM interactions,,-4.105718160680733,2.5139173261025953,4.5466201487801845,30286,119,2126,21,0.9877704609595485,0.21448197850340045,60|1808|1956|2260|3685|3688|4478|5058|5595|5879|5962|6712|7280|7410|7846|8650|24137|26052|284217|347733|100133941,ACTB|DPYSL2|EGFR|FGFR1|ITGAV|ITGB1|MSN|PAK1|MAPK3|RAC1|RDX|SPTBN2|TUBB2A|VAV2|TUBA1A|NUMB|KIF4A|DNM3|LAMA1|TUBB2B|CD24,-2.7680414301227882,0,69.0,0.0,0.0,-10.98392246236152,5.426869148411952,
0,0,0,1,1,0,0,0,0.0,0.0,0.0,-2.4480430713266554,-2.8265621629808697,0.0,0.0,0.0,GO:0060840,M00011000,2,0,GO Biological Processes,19,artery development,19_GO:0032502 developmental process,-4.098064813045507,2.653579399774962,4.5963790539992795,30286,102,2126,19,0.8936970837253058,0.204109950788422,182|659|1906|1959|2296|2548|4091|4092|4669|6091|6092|6659|7048|7798|10370|10454|11174|51684|60681,JAG1|BMPR2|EDN1|EGR2|FOXC1|GAA|SMAD6|SMAD7|NAGLU|ROBO1|ROBO2|SOX4|TGFBR2|LUZP1|CITED2|TAB1|ADAMTS6|SUFU|FKBP10,-2.760873056833776,0,11.0,0.0,0.0,-19.24275994023552,4.954967483332652,
0,0,0,0,1,0,1,0,0.0,0.0,0.0,0.0,-2.5041456478786963,0.0,-4.091079604159343,0.0,GO:0061077,M00001010,2,0,GO Biological Processes,19,chaperone-mediated protein folding,19_GO:0008152 metabolic process,-4.091079604159343,11.368618618618617,6.905108947563898,30286,74,180,5,2.7777777777777777,1.2248848662336067,908|2288|3313|10471|51303,CCT6A|FKBP4|HSPA9|PFDN6|FKBP11,-2.8313693091173415,0,102.0,0.0,0.0,-9.066691483075626,11.368618618618617,
