Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),GeneList
Reactome Gene Sets,6,R-HSA-2467813,Separation of Sister Chromatids,,-4.1,2.9,4.8,30293,190,922,17,1.8,0.44,332|699|701|991|1062|1063|4085|5347|5516|9212|9232|10197|10403|11004|11065|55143|81027,BIRC5|BUB1|BUB1B|CDC20|CENPE|CENPF|MAD2L1|PLK1|PPP2CB|AURKB|PTTG1|PSME3|NDC80|KIF2C|UBE2C|CDCA8|TUBB1,-2.4,MyList
Reactome Gene Sets,6,R-HSA-5663220,RHO GTPases Activate Formins,,-4,3.3,4.8,30293,140,922,14,1.5,0.4,332|699|701|991|1062|1063|4085|5347|5516|9212|10403|11004|55143|81027,BIRC5|BUB1|BUB1B|CDC20|CENPE|CENPF|MAD2L1|PLK1|PPP2CB|AURKB|NDC80|KIF2C|CDCA8|TUBB1,-2.3,MyList
Reactome Gene Sets,6,R-HSA-1280218,Adaptive Immune System,,-4,1.8,4.2,30293,768,922,43,4.7,0.69,718|991|1062|1277|1280|1281|1510|1512|2243|2244|2266|3106|3107|3119|3120|3123|3127|3383|3709|3835|4008|5063|5516|5908|6810|6850|6892|8503|8722|8907|9040|10197|11004|11065|23194|24137|26153|26232|57761|79908|81027|89122|196500,C3|CDC20|CENPE|COL1A1|COL2A1|COL3A1|CTSE|CTSH|FGA|FGB|FGG|HLA-B|HLA-C|HLA-DQB1|HLA-DQB2|HLA-DRB1|HLA-DRB5|ICAM1|ITPR2|KIF22|LMO7|PAK3|PPP2CB|RAP1B|STX4|SYK|TAPBP|PIK3R3|CTSF|AP1M1|UBE2M|PSME3|KIF2C|UBE2C|FBXL7|KIF4A|KIF26A|FBXO2|TRIB3|BTNL8|TUBB1|TRIM4|PIANP,-2.2,MyList
Reactome Gene Sets,6,R-HSA-425393,Transport of inorganic cations/anions and amino acids/oligopeptides,,-3.9,3.7,4.9,30293,108,922,12,1.3,0.37,6506|6511|6539|6542|6546|6547|8671|9056|11254|23657|55117|84889,SLC1A2|SLC1A6|SLC6A12|SLC7A2|SLC8A1|SLC8A3|SLC4A4|SLC7A7|SLC6A14|SLC7A11|SLC6A15|SLC7A3,-2.2,MyList
Reactome Gene Sets,6,R-HSA-354192,Integrin signaling,,-3.9,7.3,5.8,30293,27,922,6,0.65,0.26,2243|2244|2266|5908|6850|54518,FGA|FGB|FGG|RAP1B|SYK|APBB1IP,-2.2,MyList
Reactome Gene Sets,6,R-HSA-3000170,Syndecan interactions,,-3.9,7.3,5.8,30293,27,922,6,0.65,0.26,1277|1281|3371|3673|6382|7448,COL1A1|COL3A1|TNC|ITGA2|SDC1|VTN,-2.2,MyList
Reactome Gene Sets,6,R-HSA-388396,GPCR downstream signalling,,-3.8,1.9,4.1,30293,634,922,37,4,0.65,107|111|114|117|134|301|623|718|796|846|886|1607|1908|1910|2791|2846|2913|2921|3576|3678|3709|3838|5021|5142|5196|5516|5729|6004|6374|8503|9290|22899|55701|57580|79924|84152|85397,ADCY1|ADCY5|ADCY8|ADCYAP1R1|ADORA1|ANXA1|BDKRB1|C3|CALCA|CASR|CCKAR|DGKB|EDN3|EDNRB|GNG11|LPAR4|GRM3|CXCL3|CXCL8|ITGA5|ITPR2|KPNA2|OXTR|PDE4B|PF4|PPP2CB|PTGDR|RGS16|CXCL5|PIK3R3|GPR55|ARHGEF15|ARHGEF40|PREX1|ADM2|PPP1R1B|RGS8,-2.1,MyList
Reactome Gene Sets,6,R-HSA-76009,Platelet Aggregation (Plug Formation),,-3.8,5.9,5.4,30293,39,922,7,0.76,0.29,1277|2243|2244|2266|5908|6850|54518,COL1A1|FGA|FGB|FGG|RAP1B|SYK|APBB1IP,-2.1,MyList
Reactome Gene Sets,6,R-HSA-5173105,O-linked glycosylation,,-3.8,3.5,4.7,30293,112,922,12,1.3,0.37,4582|4583|9245|10418|50614|56667|56999|57188|64409|93010|140453|170689,MUC1|MUC2|GCNT3|SPON1|GALNT9|MUC13|ADAMTS9|ADAMTSL3|GALNT17|B3GNT7|MUC17|ADAMTS15,-2.1,MyList
Reactome Gene Sets,6,R-HSA-877300,Interferon gamma signaling,,-3.8,3.8,4.8,30293,96,922,11,1.2,0.36,2635|3106|3107|3119|3120|3123|3127|3383|4502|4684|11074,GBP3|HLA-B|HLA-C|HLA-DQB1|HLA-DQB2|HLA-DRB1|HLA-DRB5|ICAM1|MT2A|NCAM1|TRIM31,-2.1,MyList
