Network,Annotation
up_epi_only_SUB1_MCODE_4,R-HSA-6811436|COPI-independent Golgi-to-ER retrograde traffic|-10.4;R-HSA-3371497|HSP90 chaperone cycle for steroid hormone receptors (SHR) in the presence of ligand|-10.3;R-HSA-6807878|COPI-mediated anterograde transport|-9.2
up_mes_down_epi,M5924|HALLMARK MTORC1 SIGNALING|-37.7;R-HSA-191273|Cholesterol biosynthesis|-27.5;GO:0016126|sterol biosynthetic process|-27.0
up_mes_down_epi_MCODE_ALL,R-HSA-191273|Cholesterol biosynthesis|-18.0;WP4718|Cholesterol metabolism with Bloch and Kandutsch Russell pathways|-17.8;M5924|HALLMARK MTORC1 SIGNALING|-16.0
up_mes_down_epi_SUB1_MCODE_1,WP3963|Mevalonate pathway|-10.8;WP4190|Mevalonate arm of cholesterol biosynthesis pathway|-9.5;WP197|Cholesterol biosynthesis pathway|-9.2
up_mes_down_epi_SUB1_MCODE_2,R-HSA-191273|Cholesterol biosynthesis|-10.2;GO:0016125|sterol metabolic process|-9.7;GO:0016126|sterol biosynthetic process|-9.3
up_mes_down_epi_SUB1_MCODE_3,hsa00010|Glycolysis / Gluconeogenesis|-6.4;GO:0005975|carbohydrate metabolic process|-5.8;GO:0090407|organophosphate biosynthetic process|-5.5
up_mes_down_epi_SUB1_MCODE_4,WP4786|Type I collagen synthesis in the context of osteogenesis imperfecta|-7.6;hsa00310|Lysine degradation|-6.8;R-HSA-1650814|Collagen biosynthesis and modifying enzymes|-6.7
up_mes_down_epi_SUB1_MCODE_5,hsa04141|Protein processing in endoplasmic reticulum|-7.8;GO:0006457|protein folding|-7.4;GO:0034976|response to endoplasmic reticulum stress|-7.3
up_mes_down_epi_SUB1_MCODE_6,R-HSA-446203|Asparagine N-linked glycosylation|-5.0
up_mes_only,M5913|HALLMARK INTERFERON GAMMA RESPONSE|-15.5;R-HSA-1280215|Cytokine Signaling in Immune system|-13.5;R-HSA-913531|Interferon Signaling|-13.3
up_mes_only_MCODE_ALL,R-HSA-9705683|SARS-CoV-2-host interactions|-14.0;R-HSA-9705671|SARS-CoV-2 activates/modulates innate and adaptive immune responses|-13.7;R-HSA-913531|Interferon Signaling|-12.9
up_mes_only_SUB1_MCODE_1,R-HSA-499943|Interconversion of nucleotide di- and triphosphates|-10.3;R-HSA-15869|Metabolism of nucleotides|-8.1;GO:0006221|pyrimidine nucleotide biosynthetic process|-7.2
up_mes_only_SUB1_MCODE_2,R-HSA-170822|Regulation of Glucokinase by Glucokinase Regulatory Protein|-12.0;R-HSA-168271|Transport of Ribonucleoproteins into the Host Nucleus|-12.0;R-HSA-5619107|Defective TPR may confer susceptibility towards thyroid papillary carcinoma (TPC)|-12.0
up_mes_only_SUB1_MCODE_3,R-HSA-72163|mRNA Splicing - Major Pathway|-8.7;R-HSA-72172|mRNA Splicing|-8.6;R-HSA-72203|Processing of Capped Intron-Containing Pre-mRNA|-8.1
up_mes_only_SUB1_MCODE_5,R-HSA-877300|Interferon gamma signaling|-7.5;R-HSA-9705671|SARS-CoV-2 activates/modulates innate and adaptive immune responses|-7.2;hsa05169|Epstein-Barr virus infection|-6.5
