GO,Description,_LogP_down_common_genes,_LogP_down_epi_only,_LogP_down_mes_only,_LogP_down_mes_up_epi,_LogP_up_common_genes,_LogP_up_epi_only,_LogP_up_mes_down_epi,_LogP_up_mes_only
R-HSA-8980692,RHOA GTPase cycle,-2.056118773687254,-2.166481094433853,0.0,0.0,0.0,0.0,-5.909515035306019,0.0
GO:1901615,organic hydroxy compound metabolic process,-4.701726660448989,-13.225475408325162,0.0,0.0,0.0,-2.806969975565719,-6.334109320920897,0.0
R-HSA-556833,Metabolism of lipids,-7.4767552625873,-4.289847367063331,0.0,-5.096804575871166,0.0,0.0,-15.320180990823216,0.0
WP5390,Pancreatic cancer subtypes,0.0,-20.744102607315877,0.0,0.0,0.0,0.0,0.0,0.0
R-HSA-381426,Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs),0.0,-11.958994002142298,0.0,0.0,0.0,0.0,0.0,0.0
GO:0010817,regulation of hormone levels,0.0,-11.978282025915314,0.0,0.0,0.0,-2.434821151826753,-2.7291865929334183,0.0
GO:0009991,response to extracellular stimulus,-2.834656002839299,-2.6813244825435656,0.0,0.0,0.0,0.0,0.0,0.0
GO:0009410,response to xenobiotic stimulus,-2.9245220771477447,-6.284041507493005,0.0,0.0,0.0,0.0,0.0,0.0
GO:0030855,epithelial cell differentiation,-2.940474768015121,-5.958297382765932,0.0,0.0,0.0,-2.3706689532038547,0.0,0.0
M5907,HALLMARK ESTROGEN RESPONSE LATE,-2.7595186346819025,-6.26118785806833,0.0,0.0,0.0,-2.9802153622761622,0.0,0.0
GO:0016054,organic acid catabolic process,-13.823343483786527,-7.931841741697547,0.0,0.0,0.0,0.0,0.0,0.0
GO:0044282,small molecule catabolic process,-14.199562846429872,-9.865796865929415,0.0,0.0,0.0,0.0,0.0,0.0
M5921,HALLMARK COMPLEMENT,0.0,-4.701234804586181,0.0,0.0,-4.648905504480268,0.0,-2.482784034312026,0.0
WP2882,Nuclear receptors meta pathway,0.0,-3.5564278519063133,0.0,0.0,-3.1763036976556465,0.0,-2.1108771735161187,0.0
