Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),GeneList
DisGeNET,35,C0410702,Adolescent idiopathic scoliosis,,-12,2.9,8.5,30293,656,871,55,6.3,0.82,108|288|320|652|805|1000|1006|1311|1501|1809|1909|2201|2674|2917|3490|3899|4015|4638|4753|4908|4978|5077|5099|5142|5307|5362|5789|6424|6899|7040|7093|8848|9745|9758|10267|10350|10718|10752|22836|26010|26047|50507|51435|54212|56243|57211|57537|80206|80323|81792|83539|91653|92293|115701|166336,ADCY2|ANK3|APBA1|BMP4|CALM2|CDH2|CDH8|COMP|CTNND2|DPYSL3|EDNRA|FBN2|GFRA1|GRM7|IGFBP7|AFF3|LOX|MYLK|NELL2|NTF3|OPCML|PAX3|PCDH7|PDE4B|PITX1|PLXNA2|PTPRD|SFRP4|TBX1|TGFB1|TLL2|TSC22D1|ZNF536|FRMPD4|RAMP1|ABCA9|NRG3|CHL1|RHOBTB3|SPATS2L|CNTNAP2|NOX4|SCARA3|SNTG1|KIAA1217|ADGRG6|SORCS2|FHOD3|CCDC68|ADAMTS12|CHST9|BOC|TMEM132C|ALPK2|PRICKLE2,-9.7,MyList
DisGeNET,35,C2145472,Urothelial Carcinoma,,-12,3.4,8.8,30293,449,871,44,5.1,0.74,666|701|1268|1490|1545|1612|1620|1634|1978|1993|2022|2048|2252|2263|3371|3488|3624|3875|4060|4233|4288|4313|4851|4854|4921|6241|6285|6657|6928|7040|7042|7057|7130|7291|7364|7431|8840|9518|10602|22795|23213|51129|92737|100133941,BOK|BUB1B|CNR1|CCN2|CYP1B1|DAPK1|BRINP1|DCN|EIF4EBP1|ELAVL2|ENG|EPHB2|FGF7|FGFR2|TNC|IGFBP5|INHBA|KRT18|LUM|MET|MKI67|MMP2|NOTCH1|NOTCH3|DDR2|RRM2|S100B|SOX2|HNF1B|TGFB1|TGFB2|THBS1|TNFAIP6|TWIST1|UGT2B7|VIM|CCN4|GDF15|CDC42EP3|NID2|SULF1|ANGPTL4|DNER|CD24,-9.7,MyList
DisGeNET,35,C0268731,Renal glomerular disease,,-12,4.7,9.6,30293,221,871,30,3.4,0.62,19|348|1028|1285|1286|1287|1634|1839|1906|1910|2034|2048|3075|3371|4036|4091|4320|4627|5328|5362|5742|5800|6299|6696|6928|7040|7225|7301|10371|51129,ABCA1|APOE|CDKN1C|COL4A3|COL4A4|COL4A5|DCN|HBEGF|EDN1|EDNRB|EPAS1|EPHB2|CFH|TNC|LRP2|SMAD6|MMP11|MYH9|PLAU|PLXNA2|PTGS1|PTPRO|SALL1|SPP1|HNF1B|TGFB1|TRPC6|TYRO3|SEMA3A|ANGPTL4,-9.7,MyList
DisGeNET,35,C1319315,Adenocarcinoma of large intestine,,-12,3.1,8.7,30293,543,871,49,5.6,0.78,284|290|652|653|894|928|1284|1902|1906|2045|2048|2066|2151|2263|2627|2719|3371|3490|3856|4091|4233|4313|4325|4851|5243|5292|6277|6513|6578|6581|6657|6925|6926|6928|7040|7225|8029|8549|8877|26585|54894|64399|64759|83857|84969|85461|91653|147381|160518,ANGPT1|ANPEP|BMP4|BMP5|CCND2|CD9|COL4A2|LPAR1|EDN1|EPHA7|EPHB2|ERBB4|F2RL2|FGFR2|GATA6|GPC3|TNC|IGFBP7|KRT8|SMAD6|MET|MMP2|MMP16|NOTCH1|ABCB1|PIM1|S100A6|SLC2A1|SLCO2A1|SLC22A3|SOX2|TCF4|TBX3|HNF1B|TGFB1|TRPC6|CUBN|LGR5|SPHK1|GREM1|RNF43|HHIP|TNS3|TMTC1|TOX2|TANC1|BOC|CBLN2|DENND5B,-9.7,MyList
Cell Type Signatures,7,M39256,MENON FETAL KIDNEY 6 COLLECTING DUCT CELLS,,-12,7.4,11,30293,94,871,20,2.3,0.51,928|1191|1958|3315|3856|3875|3975|5783|5792|6277|6281|6781|6926|7832|8848|10123|10625|22998|26010|157506,CD9|CLU|EGR1|HSPB1|KRT8|KRT18|LHX1|PTPN13|PTPRF|S100A6|S100A10|STC1|TBX3|BTG2|TSC22D1|ARL4C|IVNS1ABP|LIMCH1|SPATS2L|RDH10,-9.7,MyList
DisGeNET,35,C0345905,Intrahepatic Cholangiocarcinoma,,-12,3.3,8.8,30293,470,871,45,5.2,0.75,861|976|1000|1281|1604|1612|2030|2048|2066|2070|2192|2201|2263|2719|3399|3675|4232|4313|4851|5178|5214|5243|6277|6285|6387|6422|6591|6696|6926|7040|7042|7076|7431|7852|7980|8076|8140|8553|9891|10763|29128|54894|55638|55655|92737,RUNX1|ADGRE5|CDH2|COL3A1|CD55|DAPK1|SLC29A1|EPHB2|ERBB4|EYA4|FBLN1|FBN2|FGFR2|GPC3|ID3|ITGA3|MEST|MMP2|NOTCH1|PEG3|PFKP|ABCB1|S100A6|S100B|CXCL12|SFRP1|SNAI2|SPP1|TBX3|TGFB1|TGFB2|TIMP1|VIM|CXCR4|TFPI2|MFAP5|SLC7A5|BHLHE40|NUAK1|NES|UHRF1|RNF43|SYBU|NLRP2|DNER,-9.6,MyList
Cell Type Signatures,7,M39139,GAO ESOPHAGUS 25W C4 FGFR1HIGH EPITHELIAL CELLS,,-12,4.8,9.6,30293,208,871,29,3.3,0.61,649|1545|1959|2294|2619|2674|2861|3090|3671|4060|4313|4330|6586|7130|7412|8076|8483|8532|8829|9510|25891|51050|54510|54972|79987|80332|81035|91461|221476,BMP1|CYP1B1|EGR2|FOXF1|GAS1|GFRA1|GPR37|HIC1|ISLR|LUM|MMP2|MN1|SLIT3|TNFAIP6|VCAM1|MFAP5|CILP|CPZ|NRP1|ADAMTS1|PAMR1|PI15|PCDH18|TMEM132A|SVEP1|ADAM33|COLEC12|PKDCC|PI16,-9.6,MyList
DisGeNET,35,C0032927,Precancerous Conditions,,-12,3.3,8.7,30293,471,871,45,5.2,0.75,70|547|653|861|1356|1545|1634|1910|1978|2070|2495|2621|2627|3090|3485|3488|3589|3856|4233|4312|4313|4320|4605|4851|4854|5243|5292|5328|5742|6277|6422|6581|6657|6696|6925|7040|7043|7057|9590|23213|29128|84870|140885|166336|100133941,ACTC1|KIF1A|BMP5|RUNX1|CP|CYP1B1|DCN|EDNRB|EIF4EBP1|EYA4|FTH1|GAS6|GATA6|HIC1|IGFBP2|IGFBP5|IL11|KRT8|MET|MMP1|MMP2|MMP11|MYBL2|NOTCH1|NOTCH3|ABCB1|PIM1|PLAU|PTGS1|S100A6|SFRP1|SLC22A3|SOX2|SPP1|TCF4|TGFB1|TGFB3|THBS1|AKAP12|SULF1|UHRF1|RSPO3|SIRPA|PRICKLE2|CD24,-9.6,MyList
DisGeNET,35,C1851712,Dural ectasia,,-12,22,14,30293,16,871,10,1.1,0.36,59|4015|4629|4638|4854|7042|7043|7046|7048|8076,ACTA2|LOX|MYH11|MYLK|NOTCH3|TGFB2|TGFB3|TGFBR1|TGFBR2|MFAP5,-9.6,MyList
DisGeNET,35,C0013405,"Dyspnea, Paroxysmal",,-12,22,14,30293,16,871,10,1.1,0.36,59|3736|4015|4629|4638|7042|7043|7046|7048|8076,ACTA2|KCNA1|LOX|MYH11|MYLK|TGFB2|TGFB3|TGFBR1|TGFBR2|MFAP5,-9.6,MyList
DisGeNET,35,C0233794,Memory impairment,,-12,2.7,8.4,30293,763,871,60,6.9,0.86,19|288|348|649|710|953|1191|1268|1356|1490|1545|1612|1808|1827|1893|1906|1909|1958|2030|2048|2066|2670|2697|2706|2890|3084|3490|3708|3736|4129|4133|4741|4854|4908|5066|5080|5122|5142|5155|5327|5742|6281|6285|6492|6493|6696|6869|7040|7048|9495|9758|10628|10763|22943|23336|23705|25797|51816|57007|91584,ABCA1|ANK3|APOE|BMP1|SERPING1|ENTPD1|CLU|CNR1|CP|CCN2|CYP1B1|DAPK1|DPYSL2|RCAN1|ECM1|EDN1|EDNRA|EGR1|SLC29A1|EPHB2|ERBB4|GFAP|GJA1|GJB2|GRIA1|NRG1|IGFBP7|ITPR1|KCNA1|MAOB|MAP2|NEFM|NOTCH3|NTF3|PAM|PAX6|PCSK1|PDE4B|PDGFB|PLAT|PTGS1|S100A10|S100B|SIM1|SIM2|SPP1|TACR1|TGFB1|TGFBR2|AKAP5|FRMPD4|TXNIP|NES|DKK1|SYNM|CADM1|QPCT|ADA2|ACKR3|PLXNA4,-9.6,MyList
DisGeNET,35,C0027092,Myopia,,-12,3.3,8.7,30293,490,871,46,5.3,0.76,146|182|652|875|1282|1285|1286|1287|1300|1501|1634|1958|2201|2697|3075|4015|4036|4053|4060|4094|4233|4312|4313|4320|4629|4948|5080|5176|5362|6492|6657|6925|7021|7040|7042|7046|7078|7262|10265|22943|50863|90161|117581|140885|170691|170692,ADRA1D|JAG1|BMP4|CBS|COL4A1|COL4A3|COL4A4|COL4A5|COL10A1|CTNND2|DCN|EGR1|FBN2|GJA1|CFH|LOX|LRP2|LTBP2|LUM|MAF|MET|MMP1|MMP2|MMP11|MYH11|OCA2|PAX6|SERPINF1|PLXNA2|SIM1|SOX2|TCF4|TFAP2B|TGFB1|TGFB2|TGFBR1|TIMP3|PHLDA2|IRX5|DKK1|NTM|HS6ST2|TWIST2|SIRPA|ADAMTS17|ADAMTS18,-9.6,MyList
Transcription Factor Targets,16,M3128,AAANWWTGC UNKNOWN,,-12,5,9.6,30293,195,871,28,3.2,0.6,288|2045|2048|2252|2263|2719|3624|4015|4281|4610|4638|4826|5080|5122|6423|6444|7026|8499|9627|10082|10370|10602|23189|55534|56896|57633|63976|133584,ANK3|EPHA7|EPHB2|FGF7|FGFR2|GPC3|INHBA|LOX|MID1|MYCL|MYLK|NNAT|PAX6|PCSK1|SFRP2|SGCD|NR2F2|PPFIA2|SNCAIP|GPC6|CITED2|CDC42EP3|KANK1|MAML3|DPYSL5|LRRN1|PRDM16|EGFLAM,-9.6,MyList
DisGeNET,35,C0242852,Proliferative vitreoretinopathy,,-12,5.9,10,30293,142,871,24,2.8,0.55,133|652|655|1490|1634|1839|1906|1910|2149|2670|4015|4313|5054|5243|5327|5764|5806|6387|7040|7042|7052|7076|7078|26585,ADM|BMP4|BMP7|CCN2|DCN|HBEGF|EDN1|EDNRB|F2R|GFAP|LOX|MMP2|SERPINE1|ABCB1|PLAT|PTN|PTX3|CXCL12|TGFB1|TGFB2|TGM2|TIMP1|TIMP3|GREM1,-9.6,MyList
