_MEMBER_MyList,_LogP_MyList,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff
1,-2.9,TRR00862,M1,1,0,TRRUST,34,Regulated by: NF1,,-2.9,7.9,5,30293,18,851,4,0.47,0.23,174|2353|4155|5327,AFP|FOS|MBP|PLAT,-1.6,0
1,-2.9,TRR01382,M1,1,0,TRRUST,34,Regulated by: TBP,,-2.9,7.9,5,30293,18,851,4,0.47,0.23,1026|2353|2521|3487,CDKN1A|FOS|FUS|IGFBP4,-1.6,0
1,-2.9,TRR01557,M1,1,0,TRRUST,34,Regulated by: ZEB1,,-2.9,7.9,5,30293,18,851,4,0.47,0.23,3691|3918|11187|79977,ITGB4|LAMC2|PKP3|GRHL2,-1.6,0
1,-2.8,TRR00075,M1,1,0,TRRUST,34,Regulated by: BRCA1,,-2.8,4.2,4.2,30293,60,851,7,0.82,0.31,846|1026|1647|1649|2353|3852|7031,CASR|CDKN1A|GADD45A|DDIT3|FOS|KRT5|TFF1,-1.6,0
1,-2.8,TRR01275,M1,1,0,TRRUST,34,Regulated by: STAT1,,-2.8,3.3,3.9,30293,96,851,9,1.1,0.35,1026|2258|3383|6281|6348|9021|9961|23541|27035,CDKN1A|FGF13|ICAM1|S100A10|CCL3|SOCS3|MVP|SEC14L2|NOX1,-1.6,0
1,-2.8,TRR00290,M1,1,0,TRRUST,34,Regulated by: EZH2,,-2.8,4.7,4.3,30293,45,851,6,0.71,0.29,1026|1029|1030|5111|7291|147906,CDKN1A|CDKN2A|CDKN2B|PCNA|TWIST1|DACT3,-1.6,0
1,-2.8,TRR00472,M1,1,0,TRRUST,34,Regulated by: HDAC5,,-2.8,12,5.5,30293,9,851,3,0.35,0.2,2258|3481|6513,FGF13|IGF2|SLC2A1,-1.6,0
1,-2.8,TRR00599,M1,1,0,TRRUST,34,Regulated by: ING1,,-2.8,12,5.5,30293,9,851,3,0.35,0.2,174|1026|5111,AFP|CDKN1A|PCNA,-1.6,0
1,-2.7,TRR00270,M1,1,0,TRRUST,34,Regulated by: EP300,,-2.7,4,4,30293,63,851,7,0.82,0.31,768|1026|1030|3576|5111|6549|7056,CA9|CDKN1A|CDKN2B|CXCL8|PCNA|SLC9A2|THBD,-1.5,0
1,-2.7,TRR00342,M1,1,0,TRRUST,34,Regulated by: FOS,,-2.7,3.9,3.9,30293,64,851,7,0.82,0.31,1649|2353|3552|3576|5021|5106|6707,DDIT3|FOS|IL1A|CXCL8|OXTR|PCK2|SPRR3,-1.5,0
