_MEMBER_down_common_genes,_MEMBER_down_epi_only,_MEMBER_down_mes_only,_MEMBER_down_mes_up_epi,_MEMBER_up_common_genes,_MEMBER_up_epi_only,_MEMBER_up_mes_down_epi,_MEMBER_up_mes_only,_LogP_down_common_genes,_LogP_down_epi_only,_LogP_down_mes_only,_LogP_down_mes_up_epi,_LogP_up_common_genes,_LogP_up_epi_only,_LogP_up_mes_down_epi,_LogP_up_mes_only,GO,Description,_PATTERN_,_RANK_,GiniIndex
1,0,1,0,0,0,0,0,-4.5,0,-3.7,0,0,0,0,0,GO:0120031,plasma membrane bounded cell projection assembly,M10100000,2,0
0,0,0,0,1,1,0,0,0,0,0,0,-6.5,-3.6,0,0,GO:0006959,humoral immune response,M00001100,2,0
0,0,0,1,1,0,0,0,0,0,0,-2.1,-2.9,0,0,0,GO:0001952,regulation of cell-matrix adhesion,M00011000,2,0
0,1,0,0,1,0,0,0,0,-2.3,0,0,-2.8,0,0,0,GO:0046632,alpha-beta T cell differentiation,M01001000,2,0
0,1,0,0,0,0,0,1,0,-2.7,0,0,0,0,0,-2,GO:0098771,inorganic ion homeostasis,M01000001,2,0
0,0,1,0,0,0,0,1,0,0,-2,0,0,0,0,-2.1,GO:0021761,limbic system development,M00100001,2,0
0,0,1,0,0,1,0,0,0,0,-3.6,0,0,-4.1,0,0,WP2571,Polycystic kidney disease pathway,M00100100,2,0
0,0,0,0,1,0,0,1,0,0,0,0,-4.9,0,0,-2.2,GO:1903707,negative regulation of hemopoiesis,M00001001,2,0
1,0,0,0,1,0,0,0,-2.7,0,0,0,-3.5,0,0,0,WP4747,Netrin UNC5B signaling pathway,M10001000,2,0
1,0,0,1,0,0,0,0,-2.1,0,0,-3.2,0,0,0,0,GO:0071559,response to transforming growth factor beta,M10010000,2,0
1,0,0,0,0,0,0,1,-3,0,0,0,0,0,0,-2.3,GO:0016049,cell growth,M10000001,2,0
1,0,0,0,1,0,0,0,-2.9,0,0,0,-2.5,0,0,0,M239,PID A6B1 A6B4 INTEGRIN PATHWAY,M10001000,2,0
0,1,0,0,0,0,1,0,0,-5.6,0,0,0,0,-2.3,0,R-HSA-975634,Retinoid metabolism and transport,M01000010,2,0
0,0,1,1,0,0,0,0,0,0,-2.4,-3.3,0,0,0,0,GO:0048562,embryonic organ morphogenesis,M00110000,2,0
